"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-mir-132.mmu-miR-132-3p",487.560905445208,0.853605485059344,0.245363509809387,3.4789422670163,0.000503397024171281,0.0229884641038218
"mmu-mir-147.mmu-miR-147-5p",16.3133543857405,3.52650323373882,0.784759314854245,4.49373861130123,6.99835230849099e-06,0.000575264559757959
"mmu-mir-147.mmu-miR-147-3p",30.4562564367861,3.00516494679712,0.620631244840983,4.84211030588235,1.28467410963676e-06,0.00014410234934322
"mmu-mir-155.mmu-miR-155-5p",569.07526648815,1.09794663233955,0.264032818437342,4.15837182225171,3.20524001879805e-05,0.00219558941287666
"mmu-mir-21a.mmu-miR-21a-5p",575511.983346073,1.46960743444782,0.217473117711069,6.75765101413737,1.40246836030489e-11,3.8427633072354e-09
"mmu-mir-21a.mmu-miR-21a-3p",814.455984498212,3.0522678594311,0.236669215978123,12.8967675276925,4.69376334223321e-38,3.8582734673157e-35
"mmu-mir-223.mmu-miR-223-5p",80.6467315492884,2.68723562305634,0.404986976358361,6.63536306085676,3.23704770774862e-11,6.65213303942342e-09
"mmu-mir-223.mmu-miR-223-3p",2972.51887674689,1.77198027765408,0.258677454983001,6.8501535155838,7.37707798627501e-12,3.03197905235903e-09
"mmu-mir-23a.mmu-miR-23a-5p",20.3130720882606,2.91051880355533,0.62951590528497,4.62342377550857,3.77457483859828e-06,0.00034474450192531
"mmu-mir-27a.mmu-miR-27a-5p",691.348186323022,1.13424127443535,0.2287799681664,4.95778228979547,7.13023979647296e-07,9.76842852116796e-05
"mmu-mir-340.mmu-miR-340-5p",2396.47222600945,0.884838685493347,0.215734017208995,4.1015260223711,4.10434338412587e-05,0.00259520789365498
"mmu-mir-449c.mmu-miR-449c-5p",204.118180696552,-2.35282742623393,0.487667465116491,-4.82465531234875,1.40245595467854e-06,0.00014410234934322
"mmu-mir-5099.mmu-miR-5099",701.805178819856,1.18720213119617,0.329576726897753,3.60220256560919,0.000315532332657847,0.0152569163202794
"mmu-mir-6236.mmu-miR-6236",115.003712502795,-1.50904032274659,0.38018982319847,-3.96917600279591,7.2121597977311e-05,0.00423456810981069
"mmu-mir-6238.mmu-miR-6238",224.882283292438,-1.35133840174378,0.309237447125714,-4.36990543772797,1.24300352183037e-05,0.000928862631767784
"mmu-mir-6240.mmu-miR-6240",1217.4355741754,-1.47808339712831,0.236211473480303,-6.2574580961308,3.91302747131191e-10,6.43301716283678e-08
"mmu-mir-6538.mmu-miR-6538",104.495711748964,-1.56033123801327,0.428123827778073,-3.64457929405906,0.000267829553523533,0.0137597433122715
"mmu-mir-709.mmu-miR-709",11.5996820258065,2.91325484959697,0.875189087768723,3.32871477753939,0.00087247704474539,0.0377461121463532
"mmu-mir-92a-1.mmu-miR-92a-1-5p",77.6737648190424,1.3072880893802,0.35695169052162,3.66236699277104,0.000249895508993853,0.0136942738928631
