"","SRR452404","SRR452405","SRR452406","SRR452407","SRR452408","SRR452409","SRR452410","SRR452411"
"mmu-let-7a-1.mmu-let-7a-5p",419957.007805618,390375.720937673,248189.133939682,230500.545599971,202288.559743249,216604.247915607,155206.51142003,217077.999514465
"mmu-let-7a-1.mmu-let-7a-1-3p",900.253775218608,197.314709797838,379.197820415629,1811.23472957443,247.378030561996,207.101833328585,235.667232321949,352.629770359623
"mmu-let-7a-1.mmu-let-7c-2-3p",900.253775218608,197.314709797838,379.197820415629,1811.23472957443,247.378030561996,207.101833328585,235.667232321949,352.629770359623
"mmu-let-7a-2.mmu-let-7a-5p",419881.455668769,390466.333272215,248321.080516692,230707.136778565,202517.516005578,216797.596892816,155430.722606337,217162.275811783
"mmu-let-7a-2.mmu-let-7a-2-3p",3.64106683607121,2.54053274417817,8.32095530692602,8.90479218079856,5.2633623523829,5.66294075507851,8.1828900111788,3.32669594678889
"mmu-let-7b.mmu-let-7b-5p",153226.105395676,203566.96088126,67534.0619789126,84239.3340303543,57885.5819244484,69345.9455120821,53277.1602847829,76693.6483572711
"mmu-let-7b.mmu-let-7b-3p",312.221481193107,317.566593022271,297.176975247358,771.155002857155,178.077092922288,267.776198561569,193.11620426382,311.600520349226
"mmu-let-7c-1.mmu-let-7c-5p",580121.166057427,614847.032082279,289248.293547758,309754.976967514,219406.768567316,254791.884401711,201610.862384424,295814.239183064
"mmu-let-7c-1.mmu-let-7c-1-3p",20.0258675983917,1.69368849611878,1.18870790098943,17.8095843615971,3.50890823492193,8.89890690083766,4.0914450055894,5.54449324464816
"mmu-let-7c-2.mmu-let-7a-1-3p",900.253775218608,197.314709797838,378.009112514639,1811.23472957443,247.378030561996,207.101833328585,235.667232321949,352.629770359623
"mmu-let-7c-2.mmu-let-7c-5p",587008.243977856,622490.648265263,291855.129974628,312120.089770734,220783.137822464,256733.464089166,203761.325879362,299118.757156874
"mmu-let-7c-2.mmu-let-7c-2-3p",900.253775218608,197.314709797838,378.009112514639,1811.23472957443,247.378030561996,207.101833328585,235.667232321949,352.629770359623
"mmu-let-7d.mmu-let-7d-5p",78961.9959404584,73025.9200429053,63037.1799894695,62604.2509478862,65831.5046224291,72828.6540764554,52782.9137281077,56556.048892709
"mmu-let-7d.mmu-let-7d-3p",2085.42103035979,2756.47802743331,2912.33435742411,3747.13654968003,2167.62806212302,2435.06452468376,1931.98033163931,2243.30196678464
"mmu-let-7e.mmu-let-7e-5p",22287.8803703009,22940.1638356808,13944.732386507,15131.0228736129,9633.70755897817,14332.0940595673,12278.4264617738,15558.9569431317
"mmu-let-7e.mmu-let-7e-3p",75.5521368484777,88.0718017981764,98.6627557821228,153.162425509735,64.0375752873253,109.213857419371,54.8253630748979,79.8407027229334
"mmu-let-7f-1.mmu-let-7f-5p",693321.933990881,371354.752282011,676197.678185739,1079200.25972596,446317.337395013,491154.941603323,374043.993855988,465697.512199084
"mmu-let-7f-1.mmu-let-7f-1-3p",113.783338627225,46.5764336432664,43.982192336609,199.467344849888,35.9663094079498,67.1462975245023,34.368138046951,59.8805270422001
"mmu-let-7f-2.mmu-let-7f-5p",717992.892605391,382897.23938306,696761.136164955,1107586.9562399,458917.826866617,504788.066975407,386135.850425507,481008.075844855
"mmu-let-7f-2.mmu-let-7f-2-3p",47.3338688689258,11.8558194728314,34.4725291286935,146.038591765096,21.9306764682621,22.651763020314,11.4560460156503,25.5046689253815
"mmu-let-7g.mmu-let-7g-5p",106116.162137168,54319.1306032734,68146.2465479221,115133.620022417,45087.7163646294,51741.4806876159,41868.5750311974,60621.2713396851
"mmu-let-7g.mmu-let-7g-3p",52.7954691230326,35.5674584184943,41.6047765346301,76.5812127548676,51.7563964650985,65.5283144516227,33.5498490458331,36.5936554146778
"mmu-let-7i.mmu-let-7i-5p",42105.2968923275,18843.1313635695,25979.211176124,43544.4337641049,16590.9953617696,14440.4989254502,13010.7951177743,15817.3303283323
"mmu-let-7i.mmu-let-7i-3p",223.015343709362,192.233644309481,423.180012752238,352.629770359623,531.599597590673,382.652996736019,171.022401233637,196.275060860545
"mmu-let-7j.mmu-let-7j",11258.1786571322,5652.68535579642,7153.6441481544,8940.41134952175,4092.2642289777,4116.95792894208,3241.24273342792,3717.02827121212
"mmu-let-7k.mmu-let-7k",60.9878695041928,41.4953681549101,29.7176975247358,44.5239609039928,14.9128599984182,13.7528561194764,15.5474910212397,13.3067837871556
"mmu-mir-100.mmu-miR-100-5p",13596.6538325989,17325.586471047,11418.7280969045,5768.5243747213,10238.1170024435,12737.5717412444,19144.6894701539,17538.341031471
"mmu-mir-100.mmu-miR-100-3p",5.46160025410682,2.54053274417817,3.56612370296829,3.56191687231942,1.75445411746097,0.808991536439787,4.90973400670728,4.43559459571852
"mmu-mir-101a.mmu-miR-101a-5p",178.412274967489,82.1438920617607,127.191745405869,138.914758020457,70.1781646984386,39.6405852855496,72.8277210994913,94.2563851590186
"mmu-mir-101a.mmu-miR-101a-3p",97550.5524053109,57818.2910362548,181749.871937581,107537.832292196,96753.7584426786,89272.2160461305,77489.5135388599,76387.5923301666
"mmu-mir-101a.mmu-miR-101c",97548.7318718929,57818.2910362548,181748.68322968,107536.05133376,96752.8812156199,89272.2160461305,77489.5135388599,76386.4834315176
"mmu-mir-101b.mmu-miR-101b-5p",0,0,0,1.78095843615971,0.877227058730483,0,0,0
"mmu-mir-101b.mmu-miR-101b-3p",48722.9358668869,27942.4728089676,68775.0730275455,68618.5475867975,50091.419507628,57884.9624153396,61838.9181034793,66474.0384087357
"mmu-mir-101c.mmu-miR-101c",10889.52063998,6159.94506038399,17394.3627151783,13558.4365744839,10360.9287906657,8818.81673873012,7682.91543149577,8607.2713129918
"mmu-mir-103-1.mmu-miR-103-1-5p",10.9232005082136,3.38737699223755,4.75483160395772,51.6477946486316,10.5267247047658,19.4157968745549,9.81946801341456,11.0889864892963
"mmu-mir-103-1.mmu-miR-103-3p",57427.8164052242,65091.8362828369,55186.9530113353,40849.8436501953,53183.644889653,80077.2182429559,66709.3742381329,63559.8527593486
"mmu-mir-103-2.mmu-miR-103-3p",57453.3038730767,65135.8721837359,55213.1045851571,40851.6246086314,53223.1201072959,80109.5779044135,66772.382491219,63552.0904688061
"mmu-mir-103-2.mmu-miR-103-2-5p",10.9232005082136,4.23422124029694,5.94353950494716,56.9906699571107,8.77227058730483,19.4157968745549,9.81946801341456,9.98008784036668
"mmu-mir-105.mmu-miR-105",0,0,0,0,0,0,0,0
"mmu-mir-106a.mmu-miR-106a-5p",175.681474840436,83.8375805578795,109.361126891028,73.0192958825481,85.0910246968568,106.786882810052,49.0973400670728,47.6826419039741
"mmu-mir-106a.mmu-miR-106a-3p",0,0,0,0,0,0.808991536439787,0,0
"mmu-mir-106b.mmu-miR-106b-5p",9409.42697111703,7948.48011228542,11894.2112573003,7804.15986725185,15040.9351489929,14928.3208219234,12129.4978635703,13223.6163884859
"mmu-mir-106b.mmu-miR-106b-3p",278.541612959448,236.269545208569,324.517256970115,325.915393817227,406.156128192214,338.158462231831,289.674306395729,240.63100681773
"mmu-mir-107.mmu-miR-107-5p",3.64106683607121,0,1.18870790098943,5.34287530847913,0.877227058730483,3.23596614575915,0,2.21779729785926
"mmu-mir-107.mmu-miR-107-3p",1302.59166060448,1282.96903580997,1430.01560489029,1260.91857280108,1620.2383774752,1735.28684566334,1425.45943994735,1351.74745304522
"mmu-mir-10a.mmu-miR-10a-5p",196323.593000833,210739.731662323,186331.152187994,106812.982208679,113242.118238577,141694.058615892,172226.104354281,185564.208810533
"mmu-mir-10a.mmu-miR-10a-3p",395.055751713727,403.944706324328,295.988267346368,379.344146902018,228.956262328656,253.214350905653,306.040086418087,354.847567657482
