"","SRR5059358","SRR5059359","SRR5059360","SRR5059361","SRR5059365","SRR5059366","SRR5059367"
"mmu-let-7a-1.mmu-let-7a-5p",2769025.7653974,4277214.7743696,6319347.85703492,3413975.58970288,4920574.30315451,3940327.60832888,3391382.09711569
"mmu-let-7a-1.mmu-let-7a-1-3p",73.7781285416033,194.375445425233,150.967148039221,80.5303978610719,179.302579818188,84.1173362404023,150.168710544874
"mmu-let-7a-1.mmu-let-7c-2-3p",73.7781285416033,194.375445425233,150.967148039221,80.5303978610719,179.302579818188,84.1173362404023,150.168710544874
"mmu-let-7a-2.mmu-let-7a-5p",2768768.53894924,4276859.82790405,6305902.44268533,3411671.93226104,4916591.41945256,3935680.32578097,3386597.17592969
"mmu-let-7a-2.mmu-let-7a-2-3p",0,0,0,0,0,0,0
"mmu-let-7b.mmu-let-7b-5p",4818949.07292237,4860578.94892325,12009660.7426986,4633414.05354024,5713010.7012321,5196191.4272232,4608907.53025499
"mmu-let-7b.mmu-let-7b-3p",151.544264031401,101.413275874035,34.2399717202358,48.806301733983,39.1371113308734,41.6581093761992,52.3315203413955
"mmu-let-7c-1.mmu-let-7c-5p",6831130.87969137,7912443.67152676,14216858.032439,6825497.0358669,8674088.13791079,7786930.07838372,6584079.61376304
"mmu-let-7c-1.mmu-let-7c-1-3p",0,2.41460180652463,0,0,0.910165379787754,10.4145273440498,1.51685566206943
"mmu-let-7c-2.mmu-let-7a-1-3p",73.7781285416033,194.375445425233,150.967148039221,80.5303978610719,179.302579818188,84.1173362404023,150.168710544874
"mmu-let-7c-2.mmu-let-7c-5p",6918679.59622509,8009602.4190177,15075833.0902598,7020571.75670582,9040595.35337448,8109991.9210661,6906869.53236274
"mmu-let-7c-2.mmu-let-7c-2-3p",73.7781285416033,194.375445425233,150.967148039221,80.5303978610719,179.302579818188,84.1173362404023,150.168710544874
"mmu-let-7d.mmu-let-7d-5p",530235.433814607,569329.301553217,705737.177111639,436707.399778608,528688.674322693,506030.668002548,430593.608930806
"mmu-let-7d.mmu-let-7d-3p",4092.69213058489,6293.65960870645,3504.92801427141,1947.37143918592,1747.51752919249,2115.75128581812,2408.76679136626
"mmu-let-7e.mmu-let-7e-5p",445734.551591045,577849.224027539,984223.318011124,380530.533044432,517749.396623024,396952.113070923,353169.503799626
"mmu-let-7e.mmu-let-7e-3p",213.35837172842,56.7431424533289,32.683609369316,53.6869319073813,34.5862844319347,33.6469344961609,25.0281184241457
"mmu-let-7f-1.mmu-let-7f-5p",3350835.1020678,7933509.86498779,8846811.83498525,6207565.33024312,8323096.51167634,6236658.78711794,6052888.89575162
"mmu-let-7f-1.mmu-let-7f-1-3p",12.961022581633,12.0730090326232,15.5636235091981,17.082205606894,14.5626460766041,12.0167623200575,12.8932731275902
"mmu-let-7f-2.mmu-let-7f-5p",3483579.90134541,8317750.27966366,9487757.6474281,6539663.74320019,8803128.65496096,6571310.39649927,6414517.90357861
"mmu-let-7f-2.mmu-let-7f-2-3p",0.997001737048693,2.41460180652463,0,1.6268767244661,0,1.60223497600766,1.51685566206943
"mmu-let-7g.mmu-let-7g-5p",153250.134003492,386743.149448341,377682.45169771,313421.054721843,331596.001991174,324068.04624731,295765.618124271
"mmu-let-7g.mmu-let-7g-3p",0,0,1.55636235091981,2.44031508669915,6.37115765851428,0,2.27528349310415
"mmu-let-7i.mmu-let-7i-5p",93647.3761592467,207874.276824609,212024.799428156,165742.946935157,236906.946704955,242855.56201841,200039.132574562
"mmu-let-7i.mmu-let-7i-3p",80.7571407009442,54.3285406468042,32.683609369316,56.9406853563135,78.2742226617469,52.8737542082529,56.8820873276038
"mmu-let-7j.mmu-let-7j",7536.33613035107,17741.2867734397,20385.2340723476,14263.6416817565,15907.8705079304,20124.8724161443,17455.216531264
"mmu-let-7k.mmu-let-7k",266.199463792001,181.095135489347,294.152484323844,177.329562966805,325.839205964016,364.508457041743,219.944071000068
"mmu-mir-100.mmu-miR-100-5p",915.247594610701,1161.42346893835,901.133801182568,1008.66356916898,693.546019398269,766.669436019667,699.270460214009
"mmu-mir-100.mmu-miR-100-3p",7.97601389638955,6.03650451631158,4.66908705275942,6.5075068978644,1.82033075957551,3.20446995201533,4.5505669862083
"mmu-mir-101a.mmu-miR-101a-5p",4.98500868524347,12.0730090326232,0,5.69406853563135,2.73049613936326,3.20446995201533,0.758427831034717
"mmu-mir-101a.mmu-miR-101a-3p",20503.3407224064,74969.7641898801,34289.7753154652,51560.6040285041,53079.0246184623,48811.2874265855,58041.7234812559
"mmu-mir-101a.mmu-miR-101c",20502.3437206693,74968.5568889768,34288.2189531143,51558.9771517796,53078.1144530825,48807.2818391454,58037.1729142697
"mmu-mir-101b.mmu-miR-101b-5p",0,0,0,0,0,2.40335246401149,0
"mmu-mir-101b.mmu-miR-101b-3p",7788.57756982439,22011.5100682785,13580.8178741262,15006.3109064753,16889.9389527214,14544.2879947096,15004.7362091908
"mmu-mir-101c.mmu-miR-101c",57.8261007488242,342.873456526498,175.868945653938,279.822796608169,303.085071469322,287.601178193376,282.135153144915
"mmu-mir-103-1.mmu-miR-103-1-5p",0,0,0,0.81343836223305,0.910165379787754,0,1.51685566206943
"mmu-mir-103-1.mmu-miR-103-3p",182422.404829536,216368.845979963,203161.315839668,153277.004033936,201665.343199573,224327.316755857,179733.744254269
"mmu-mir-103-2.mmu-miR-103-3p",182504.158971974,216443.698635965,203355.861133533,153338.825349465,201773.652879767,224425.053089393,179802.761186894
"mmu-mir-103-2.mmu-miR-103-2-5p",5.98201042229216,9.65840722609853,4.66908705275942,8.94782198456354,7.28132303830204,2.40335246401149,3.79213915517359
"mmu-mir-105.mmu-miR-105",0,0,0,0,0,0,0
"mmu-mir-106a.mmu-miR-106a-5p",9.97001737048693,4.82920361304927,14.0072611582783,13.0150137957288,9.10165379787754,9.61340985604598,12.1348452965555
"mmu-mir-106a.mmu-miR-106a-3p",0,0,0,0,0,0,0.758427831034717
"mmu-mir-106b.mmu-miR-106b-5p",1103.6809229129,2106.74007619274,1131.4754291187,1410.50212011211,1364.33790430184,1699.97130954413,1558.56919277634
"mmu-mir-106b.mmu-miR-106b-3p",418.740729560451,406.860404399401,238.123439690731,292.024372041665,236.642998744816,291.606765633395,226.76992147938
"mmu-mir-107.mmu-miR-107-5p",0,0,0,0.81343836223305,0,0,0
"mmu-mir-107.mmu-miR-107-3p",96368.1938996526,127890.59198348,86581.9939440198,78509.0035309228,121893.898488075,139355.989273243,105662.648564095
"mmu-mir-10a.mmu-miR-10a-5p",48198.054974145,88409.4378449962,57600.9706075421,49726.3005216685,55552.8541207254,46049.8354454362,51086.9402706675
"mmu-mir-10a.mmu-miR-10a-3p",275.172479425439,270.435402330759,231.897990287051,131.777014681754,158.368776083069,210.693899345008,139.550720910388
"mmu-mir-10b.mmu-miR-10b-5p",141.574246660914,266.813499620972,493.366865241579,532.802127262647,341.312017420408,277.98776833733,485.393811862219
"mmu-mir-10b.mmu-miR-10b-3p",1.99400347409739,0,0,0.81343836223305,2.73049613936326,3.20446995201533,1.51685566206943
"mmu-mir-1187.mmu-miR-1187",2.99100521114608,0,3.11272470183961,0.81343836223305,0,1.60223497600766,0
"mmu-mir-1188.mmu-miR-1188-5p",0,0,0,0,3.64066151915102,0.801117488003832,0
"mmu-mir-1188.mmu-miR-1188-3p",0,0,0,0,0,0,0
"mmu-mir-1190.mmu-miR-1190",0,0,0,0,0,0.801117488003832,0
"mmu-mir-1191a.mmu-miR-1191a",2.99100521114608,2.41460180652463,1.55636235091981,2.44031508669915,1.82033075957551,4.80670492802299,3.79213915517359
"mmu-mir-1191b.mmu-miR-1191b-5p",0,1.20730090326232,6.22544940367923,0,0.910165379787754,4.00558744001916,0
"mmu-mir-1191b.mmu-miR-1191b-3p",0,0,0,0,0,0,0
"mmu-mir-1192.mmu-miR-1192",0,0,0,0,0,0,0
"mmu-mir-1193.mmu-miR-1193-5p",10.9670191075356,15.6949117424101,14.0072611582783,7.32094526009745,9.10165379787754,10.4145273440498,6.06742264827774
"mmu-mir-1193.mmu-miR-1193-3p",0,0,1.55636235091981,0,0.910165379787754,2.40335246401149,0.758427831034717
"mmu-mir-1194.mmu-miR-1194",0.997001737048693,1.20730090326232,3.11272470183961,0,12.7423153170286,20.0279372000958,7.58427831034717
"mmu-mir-1195.mmu-miR-1195",1.99400347409739,0,0,0,0,1.60223497600766,0
"mmu-mir-1197.mmu-miR-1197-5p",0,0,0,0,0,0,0
"mmu-mir-1197.mmu-miR-1197-3p",0,0,0,0.81343836223305,0,0,0
"mmu-mir-1198.mmu-miR-1198-5p",197.406343935641,149.705312004527,140.072611582783,90.2916582078685,162.919602982008,199.478254512954,120.59002513452
"mmu-mir-1198.mmu-miR-1198-3p",0.997001737048693,1.20730090326232,0,0.81343836223305,2.73049613936326,0.801117488003832,3.03371132413887
"mmu-mir-1199.mmu-miR-1199-5p",14.9550260557304,3.62190270978695,1.55636235091981,5.69406853563135,10.0118191776653,4.80670492802299,1.51685566206943
"mmu-mir-1199.mmu-miR-1199-3p",0.997001737048693,0,0,0.81343836223305,0.910165379787754,1.60223497600766,0.758427831034717
"mmu-mir-12178.mmu-miR-12178-5p",0,0,0,0,0,0,0
"mmu-mir-12178.mmu-miR-12178-3p",0,0,0,0,0,0,0
"mmu-mir-12179.mmu-miR-12179-5p",0,0,0,0,0,0,0
