a_Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
SARS	let-7-5p/98-5p	9606	18282	18288	18282	18288	1	7mer-m8	x	7mer-m8	9606		0
SARS	let-7-5p/98-5p	9606	2517	2522	2517	2522	2	6mer	x	6mer	9606		0
SARS	let-7-5p/98-5p	9606	25586	25591	25586	25591	3	6mer	x	6mer	9606		0
SARS	let-7-5p/98-5p	9606	4657	4663	4657	4663	4	7mer-1a	x	7mer-1a	9606		0
SARS	let-7-5p/98-5p	9606	8848	8854	8848	8854	5	7mer-m8	x	7mer-m8	9606		0
SARS	let-7-5p/98-5p	9606	8921	8927	8921	8927	6	7mer-m8	x	7mer-m8	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	11765	11771	11765	11771	7	7mer-m8	x	7mer-m8	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	11868	11874	11868	11874	8	7mer-1a	x	7mer-1a	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	12230	12236	12230	12236	9	7mer-1a	x	7mer-1a	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	13090	13095	13090	13095	10	6mer	x	6mer	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	13936	13943	13936	13943	11	8mer-1a	x	8mer-1a	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	16141	16146	16141	16146	12	6mer	x	6mer	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	16795	16800	16795	16800	13	6mer	x	6mer	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	20629	20635	20629	20635	14	7mer-1a	x	7mer-1a	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	2079	2085	2079	2085	15	7mer-1a	x	7mer-1a	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	23656	23661	23656	23661	16	6mer	x	6mer	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	23800	23806	23800	23806	17	7mer-1a	x	7mer-1a	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	25873	25878	25873	25878	18	6mer	x	6mer	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	26531	26536	26531	26536	19	6mer	x	6mer	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	7308	7314	7308	7314	20	7mer-1a	x	7mer-1a	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	7343	7348	7343	7348	21	6mer	x	6mer	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	7462	7468	7462	7468	22	7mer-1a	x	7mer-1a	9606		0
SARS	let-7a-2-3p/let-7g-3p	9606	8950	8956	8950	8956	23	7mer-1a	x	7mer-1a	9606		0
SARS	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	17080	17085	17080	17085	24	6mer	x	6mer	9606		0
SARS	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	18427	18433	18427	18433	25	7mer-1a	x	7mer-1a	9606		0
