Target Rank	Target Score	miRNA Name
1	98	hsa-miR-633
2	97	hsa-miR-4477a
3	96	hsa-miR-302c-5p
4	96	hsa-miR-29c-3p
5	96	hsa-miR-29b-3p
6	96	hsa-miR-29a-3p
7	96	hsa-miR-551b-5p
8	96	hsa-miR-196a-1-3p
9	96	hsa-miR-15b-5p
10	96	hsa-miR-195-5p
11	96	hsa-miR-16-5p
12	96	hsa-miR-15a-5p
13	96	hsa-miR-381-3p
14	96	hsa-miR-300
15	95	hsa-miR-548e-5p
16	95	hsa-miR-5688
17	94	hsa-miR-424-5p
18	94	hsa-miR-7159-5p
19	94	hsa-miR-495-3p
20	94	hsa-miR-497-5p
21	94	hsa-miR-3117-5p
22	93	hsa-miR-450b-5p
23	93	hsa-miR-7-1-3p
24	93	hsa-miR-4524b-5p
25	93	hsa-miR-6838-5p
26	93	hsa-miR-515-5p
27	93	hsa-miR-7-2-3p
28	93	hsa-miR-4524a-5p
29	93	hsa-miR-519e-5p
30	92	hsa-miR-6512-5p
31	92	hsa-miR-519d-5p
32	92	hsa-miR-448
33	92	hsa-miR-4766-3p
34	92	hsa-miR-5682
35	92	hsa-miR-3065-5p
36	91	hsa-miR-1305
37	91	hsa-miR-603
38	91	hsa-miR-3529-3p
39	91	hsa-miR-6792-5p
40	90	hsa-miR-5197-3p
41	90	hsa-miR-1185-2-3p
42	90	hsa-miR-1185-1-3p
43	90	hsa-let-7f-2-3p
44	89	hsa-miR-6715a-3p
45	89	hsa-miR-4310
46	89	hsa-miR-6776-3p
47	89	hsa-miR-200a-3p
48	89	hsa-miR-141-3p
49	89	hsa-miR-4803
50	89	hsa-miR-548x-5p
51	89	hsa-miR-548g-5p
52	89	hsa-miR-548aj-5p
53	89	hsa-miR-421
54	89	hsa-miR-4519
55	88	hsa-miR-4668-3p
56	88	hsa-miR-4709-5p
57	88	hsa-miR-4703-5p
58	88	hsa-miR-4432
59	88	hsa-miR-4422
60	88	hsa-miR-34b-3p
61	88	hsa-miR-1283
62	88	hsa-miR-4276
63	88	hsa-miR-585-5p
64	87	hsa-miR-3908
65	87	hsa-miR-676-5p
66	87	hsa-miR-4503
67	87	hsa-miR-548p
68	87	hsa-miR-3942-5p
69	87	hsa-miR-98-3p
70	87	hsa-let-7f-1-3p
71	87	hsa-let-7b-3p
72	87	hsa-let-7a-3p
73	87	hsa-miR-4451
74	87	hsa-miR-6871-3p
75	87	hsa-miR-4719
76	87	hsa-miR-1-5p
77	86	hsa-miR-6768-5p
78	86	hsa-miR-324-3p
79	86	hsa-miR-6837-3p
80	86	hsa-miR-1256
81	86	hsa-miR-6852-3p
82	86	hsa-miR-203b-3p
83	85	hsa-miR-767-5p
84	85	hsa-miR-3674
85	85	hsa-miR-548f-5p
86	85	hsa-miR-3130-5p
87	85	hsa-miR-6844
88	85	hsa-miR-95-5p
89	85	hsa-miR-2115-3p
90	84	hsa-miR-675-3p
91	84	hsa-miR-12117
92	84	hsa-miR-216b-3p
93	83	hsa-miR-891b
94	83	hsa-miR-323a-5p
95	83	hsa-miR-302d-5p
96	83	hsa-miR-302b-5p
97	83	hsa-miR-4482-5p
98	83	hsa-miR-451b
99	83	hsa-miR-376c-3p
100	83	hsa-miR-92b-3p
101	83	hsa-miR-92a-3p
102	83	hsa-miR-32-5p
103	83	hsa-miR-7152-5p
104	82	hsa-miR-5695
105	82	hsa-miR-802
106	82	hsa-miR-3143
107	82	hsa-miR-624-5p
108	82	hsa-miR-507
109	82	hsa-miR-6799-3p
110	82	hsa-miR-3173-5p
111	82	hsa-miR-3065-3p
112	82	hsa-miR-6877-3p
113	82	hsa-miR-4666a-3p
114	81	hsa-miR-764
115	81	hsa-miR-570-3p
116	81	hsa-miR-9500
117	81	hsa-miR-5197-5p
118	81	hsa-miR-6819-3p
119	81	hsa-miR-302f
120	81	hsa-miR-6768-3p
121	81	hsa-miR-335-3p
122	81	hsa-miR-1236-5p
123	81	hsa-miR-363-3p
124	80	hsa-miR-6790-5p
125	80	hsa-miR-4511
126	80	hsa-miR-10b-3p
127	80	hsa-miR-4474-5p
128	80	hsa-miR-6873-5p
129	80	hsa-miR-3120-3p
130	80	hsa-miR-4274
131	80	hsa-miR-103b
132	80	hsa-miR-505-3p
133	80	hsa-miR-34c-3p
134	80	hsa-miR-206
135	80	hsa-miR-1-3p
136	80	hsa-miR-4288
137	79	hsa-miR-25-3p
138	79	hsa-miR-6500-3p
139	79	hsa-miR-590-3p
140	79	hsa-miR-6835-3p
141	79	hsa-miR-4426
142	79	hsa-miR-4504
143	79	hsa-miR-7158-3p
144	79	hsa-miR-4650-3p
