a_Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
NL63	let-7-5p/98-5p	9606	18822	18828	18822	18828	1	7mer-1a	x	7mer-1a	9606		0
NL63	let-7-5p/98-5p	9606	19751	19757	19751	19757	2	7mer-1a	x	7mer-1a	9606		0
NL63	let-7-5p/98-5p	9606	22800	22805	22800	22805	3	6mer	x	6mer	9606		0
NL63	let-7-5p/98-5p	9606	23041	23047	23041	23047	4	7mer-1a	x	7mer-1a	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	13096	13101	13096	13101	5	6mer	x	6mer	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	15409	15415	15409	15415	6	7mer-1a	x	7mer-1a	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	16333	16339	16333	16339	7	7mer-1a	x	7mer-1a	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	16635	16640	16635	16640	8	6mer	x	6mer	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	17017	17022	17017	17022	9	6mer	x	6mer	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	17206	17211	17206	17211	10	6mer	x	6mer	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	2193	2198	2193	2198	11	6mer	x	6mer	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	23254	23259	23254	23259	12	6mer	x	6mer	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	3490	3495	3490	3495	13	6mer	x	6mer	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	3832	3837	3832	3837	14	6mer	x	6mer	9606		0
NL63	let-7a-2-3p/let-7g-3p	9606	9385	9390	9385	9390	15	6mer	x	6mer	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	10825	10832	10825	10832	16	8mer-1a	x	8mer-1a	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	11307	11313	11307	11313	17	7mer-1a	x	7mer-1a	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	11768	11775	11768	11775	18	8mer-1a	x	8mer-1a	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	12653	12659	12653	12659	19	7mer-1a	x	7mer-1a	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	17950	17957	17950	17957	20	8mer-1a	x	8mer-1a	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	19235	19241	19235	19241	21	7mer-m8	x	7mer-m8	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	20847	20852	20847	20852	22	6mer	x	6mer	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	25121	25128	25121	25128	23	8mer-1a	x	8mer-1a	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	3892	3897	3892	3897	24	6mer	x	6mer	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	4069	4074	4069	4074	25	6mer	x	6mer	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	5335	5342	5335	5342	26	8mer-1a	x	8mer-1a	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	7978	7983	7978	7983	27	6mer	x	6mer	9606		0
NL63	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	927	932	927	932	28	6mer	x	6mer	9606		0
NL63	let-7c-3p	9606	13095	13101	13095	13101	29	7mer-m8	x	7mer-m8	9606		0
NL63	let-7c-3p	9606	15408	15415	15408	15415	30	8mer-1a	x	8mer-1a	9606		0
NL63	let-7c-3p	9606	16333	16339	16333	16339	31	7mer-1a	x	7mer-1a	9606		0
NL63	let-7c-3p	9606	16635	16640	16635	16640	32	6mer	x	6mer	9606		0
