miRNA	Virus	Start	End	Site type	Target Score
hsa-let-7a-3p	HCoV-OC43	11059	11064	6mer	86
hsa-let-7b-3p	HCoV-OC43	11059	11064	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	11059	11064	6mer	86
hsa-miR-98-3p	HCoV-OC43	11059	11064	6mer	86
hsa-let-7a-3p	HCoV-OC43	11088	11095	8mer-1a	86
hsa-let-7b-3p	HCoV-OC43	11088	11095	8mer-1a	86
hsa-let-7f-1-3p	HCoV-OC43	11088	11095	8mer-1a	86
hsa-miR-98-3p	HCoV-OC43	11088	11095	8mer-1a	86
hsa-let-7a-3p	HCoV-OC43	12196	12202	7mer-1a	86
hsa-let-7b-3p	HCoV-OC43	12196	12202	7mer-1a	86
hsa-let-7f-1-3p	HCoV-OC43	12196	12202	7mer-1a	86
hsa-miR-98-3p	HCoV-OC43	12196	12202	7mer-1a	86
hsa-let-7a-3p	HCoV-OC43	13124	13130	7mer-m8	86
hsa-let-7b-3p	HCoV-OC43	13124	13130	7mer-m8	86
hsa-let-7f-1-3p	HCoV-OC43	13124	13130	7mer-m8	86
hsa-miR-98-3p	HCoV-OC43	13124	13130	7mer-m8	86
hsa-let-7a-3p	HCoV-OC43	13836	13842	7mer-1a	86
hsa-let-7b-3p	HCoV-OC43	13836	13842	7mer-1a	86
hsa-let-7f-1-3p	HCoV-OC43	13836	13842	7mer-1a	86
hsa-miR-98-3p	HCoV-OC43	13836	13842	7mer-1a	86
hsa-let-7a-3p	HCoV-OC43	14762	14767	6mer	86
hsa-let-7b-3p	HCoV-OC43	14762	14767	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	14762	14767	6mer	86
hsa-miR-98-3p	HCoV-OC43	14762	14767	6mer	86
hsa-let-7a-3p	HCoV-OC43	15495	15500	6mer	86
hsa-let-7b-3p	HCoV-OC43	15495	15500	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	15495	15500	6mer	86
hsa-miR-98-3p	HCoV-OC43	15495	15500	6mer	86
hsa-let-7a-3p	HCoV-OC43	17007	17013	7mer-m8	86
hsa-let-7b-3p	HCoV-OC43	17007	17013	7mer-m8	86
hsa-let-7f-1-3p	HCoV-OC43	17007	17013	7mer-m8	86
hsa-miR-98-3p	HCoV-OC43	17007	17013	7mer-m8	86
hsa-let-7a-3p	HCoV-OC43	18611	18618	8mer-1a	86
hsa-let-7b-3p	HCoV-OC43	18611	18618	8mer-1a	86
hsa-let-7f-1-3p	HCoV-OC43	18611	18618	8mer-1a	86
hsa-miR-98-3p	HCoV-OC43	18611	18618	8mer-1a	86
hsa-let-7a-3p	HCoV-OC43	19248	19253	6mer	86
hsa-let-7b-3p	HCoV-OC43	19248	19253	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	19248	19253	6mer	86
hsa-miR-98-3p	HCoV-OC43	19248	19253	6mer	86
hsa-let-7a-3p	HCoV-OC43	19485	19491	7mer-m8	86
hsa-let-7b-3p	HCoV-OC43	19485	19491	7mer-m8	86
hsa-let-7f-1-3p	HCoV-OC43	19485	19491	7mer-m8	86
hsa-miR-98-3p	HCoV-OC43	19485	19491	7mer-m8	86
hsa-let-7a-3p	HCoV-OC43	19779	19784	6mer	86
hsa-let-7b-3p	HCoV-OC43	19779	19784	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	19779	19784	6mer	86
hsa-miR-98-3p	HCoV-OC43	19779	19784	6mer	86
hsa-let-7a-3p	HCoV-OC43	20938	20945	8mer-1a	86
hsa-let-7b-3p	HCoV-OC43	20938	20945	8mer-1a	86
hsa-let-7f-1-3p	HCoV-OC43	20938	20945	8mer-1a	86
hsa-miR-98-3p	HCoV-OC43	20938	20945	8mer-1a	86
hsa-let-7a-3p	HCoV-OC43	23995	24000	6mer	86
hsa-let-7b-3p	HCoV-OC43	23995	24000	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	23995	24000	6mer	86
hsa-miR-98-3p	HCoV-OC43	23995	24000	6mer	86
hsa-let-7a-3p	HCoV-OC43	28752	28757	6mer	86
hsa-let-7b-3p	HCoV-OC43	28752	28757	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	28752	28757	6mer	86
hsa-miR-98-3p	HCoV-OC43	28752	28757	6mer	86
hsa-let-7a-3p	HCoV-OC43	30578	30583	6mer	86
hsa-let-7b-3p	HCoV-OC43	30578	30583	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	30578	30583	6mer	86
hsa-miR-98-3p	HCoV-OC43	30578	30583	6mer	86
hsa-let-7a-3p	HCoV-OC43	3844	3850	7mer-1a	86
hsa-let-7b-3p	HCoV-OC43	3844	3850	7mer-1a	86
hsa-let-7f-1-3p	HCoV-OC43	3844	3850	7mer-1a	86
hsa-miR-98-3p	HCoV-OC43	3844	3850	7mer-1a	86
hsa-let-7a-3p	HCoV-OC43	4022	4029	8mer-1a	86
hsa-let-7b-3p	HCoV-OC43	4022	4029	8mer-1a	86
hsa-let-7f-1-3p	HCoV-OC43	4022	4029	8mer-1a	86
hsa-miR-98-3p	HCoV-OC43	4022	4029	8mer-1a	86
hsa-let-7a-3p	HCoV-OC43	5965	5970	6mer	86
hsa-let-7b-3p	HCoV-OC43	5965	5970	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	5965	5970	6mer	86
hsa-miR-98-3p	HCoV-OC43	5965	5970	6mer	86
hsa-let-7a-3p	HCoV-OC43	7165	7170	6mer	86
hsa-let-7b-3p	HCoV-OC43	7165	7170	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	7165	7170	6mer	86
hsa-miR-98-3p	HCoV-OC43	7165	7170	6mer	86
hsa-let-7a-3p	HCoV-OC43	8301	8306	6mer	86
hsa-let-7b-3p	HCoV-OC43	8301	8306	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	8301	8306	6mer	86
hsa-miR-98-3p	HCoV-OC43	8301	8306	6mer	86
hsa-let-7a-3p	HCoV-OC43	8995	9000	6mer	86
hsa-let-7b-3p	HCoV-OC43	8995	9000	6mer	86
hsa-let-7f-1-3p	HCoV-OC43	8995	9000	6mer	86
