Target Rank	Target Score	miRNA Name
1	99	hsa-miR-4288
2	99	hsa-miR-195-5p
3	99	hsa-miR-16-5p
4	99	hsa-miR-15b-5p
5	99	hsa-miR-15a-5p
6	99	hsa-miR-6838-5p
7	98	hsa-miR-497-5p
8	98	hsa-miR-424-5p
9	98	hsa-miR-3133
10	98	hsa-miR-21-3p
11	97	hsa-miR-122b-3p
12	97	hsa-miR-559
13	97	hsa-miR-196a-1-3p
14	97	hsa-miR-548y
15	97	hsa-miR-548w
16	97	hsa-miR-548o-5p
17	97	hsa-miR-548h-5p
18	97	hsa-miR-548d-5p
19	97	hsa-miR-548c-5p
20	97	hsa-miR-548bb-5p
21	97	hsa-miR-548b-5p
22	97	hsa-miR-548ay-5p
23	97	hsa-miR-548au-5p
24	97	hsa-miR-548ar-5p
25	97	hsa-miR-548am-5p
26	97	hsa-miR-548ak
27	97	hsa-miR-548ae-5p
28	97	hsa-miR-548ad-5p
29	97	hsa-miR-548aq-5p
30	97	hsa-miR-302c-5p
31	96	hsa-miR-548a-5p
32	96	hsa-miR-548as-5p
33	96	hsa-miR-548ab
34	96	hsa-miR-4684-3p
35	96	hsa-miR-409-3p
36	96	hsa-miR-548j-5p
37	96	hsa-miR-548i
38	96	hsa-miR-548ap-5p
39	95	hsa-miR-186-5p
40	95	hsa-miR-545-3p
41	95	hsa-miR-6835-3p
42	95	hsa-miR-30c-5p
43	95	hsa-miR-30b-5p
44	95	hsa-miR-6830-3p
45	95	hsa-miR-30e-5p
46	95	hsa-miR-30d-5p
47	95	hsa-miR-30a-5p
48	95	hsa-miR-3686
49	95	hsa-miR-505-3p
50	94	hsa-miR-632
51	94	hsa-miR-548z
52	94	hsa-miR-548h-3p
53	94	hsa-miR-548d-3p
54	94	hsa-miR-548bb-3p
55	94	hsa-miR-548ac
56	93	hsa-miR-548m
57	93	hsa-miR-374a-5p
58	93	hsa-miR-4778-3p
59	93	hsa-miR-4422
60	93	hsa-miR-4490
61	93	hsa-miR-527
62	93	hsa-miR-518a-5p
63	93	hsa-miR-5688
64	93	hsa-miR-548as-3p
65	92	hsa-miR-7159-5p
66	92	hsa-miR-6512-5p
67	92	hsa-miR-29c-3p
68	92	hsa-miR-29b-3p
69	92	hsa-miR-633
70	92	hsa-miR-1226-3p
71	92	hsa-miR-4310
72	92	hsa-miR-495-3p
73	91	hsa-miR-374b-5p
74	91	hsa-miR-4775
75	91	hsa-miR-1283
76	91	hsa-miR-628-3p
77	91	hsa-miR-141-3p
78	91	hsa-miR-1305
79	91	hsa-miR-29a-3p
80	90	hsa-miR-653-5p
81	90	hsa-miR-4760-3p
82	90	hsa-miR-513b-3p
83	90	hsa-miR-4524b-5p
84	90	hsa-miR-4524a-5p
85	90	hsa-miR-758-5p
86	90	hsa-miR-302e
87	90	hsa-miR-219a-1-3p
88	90	hsa-miR-6869-5p
89	90	hsa-miR-200a-3p
90	90	hsa-miR-3065-3p
91	90	hsa-miR-194-5p
92	89	hsa-miR-1279
93	89	hsa-miR-4642
94	89	hsa-miR-3182
95	89	hsa-miR-3065-5p
96	89	hsa-miR-152-3p
97	89	hsa-miR-148b-3p
98	89	hsa-miR-148a-3p
99	89	hsa-miR-451b
100	89	hsa-miR-3120-3p
101	89	hsa-miR-510-3p
102	89	hsa-miR-548p
103	89	hsa-miR-6509-5p
104	89	hsa-miR-335-3p
105	89	hsa-miR-3613-5p
106	89	hsa-miR-330-3p
107	88	hsa-miR-6515-3p
108	88	hsa-miR-33a-3p
109	88	hsa-miR-3149
110	88	hsa-miR-3671
111	88	hsa-miR-298
112	88	hsa-miR-125b-2-3p
113	88	hsa-miR-216b-3p
114	88	hsa-miR-3185
115	88	hsa-miR-6844
116	88	hsa-miR-3912-5p
117	88	hsa-miR-411-5p
118	88	hsa-miR-374a-3p
119	87	hsa-miR-8075
120	87	hsa-miR-4282
121	87	hsa-miR-4659b-3p
122	87	hsa-miR-4659a-3p
123	87	hsa-miR-4724-3p
124	87	hsa-miR-624-5p
125	87	hsa-miR-548aw
126	87	hsa-miR-497-3p
127	87	hsa-miR-375-3p
128	87	hsa-miR-3123
129	87	hsa-miR-548l
130	86	hsa-miR-4742-3p
131	86	hsa-miR-4262
132	86	hsa-miR-2052
133	86	hsa-miR-4504
134	86	hsa-miR-603
135	86	hsa-miR-493-5p
136	86	hsa-miR-222-5p
137	86	hsa-miR-802
138	86	hsa-miR-582-3p
139	86	hsa-miR-6124
140	86	hsa-miR-412-3p
141	86	hsa-miR-8054
142	86	hsa-miR-548k
143	86	hsa-miR-548av-5p
144	86	hsa-miR-548j-3p
145	86	hsa-miR-5003-5p
146	85	hsa-miR-676-5p
147	85	hsa-miR-570-5p
148	85	hsa-miR-548ba
149	85	hsa-miR-548ai
150	85	hsa-miR-548ag
151	85	hsa-miR-4527
152	85	hsa-miR-675-3p
153	85	hsa-miR-5684
154	85	hsa-miR-548t-3p
155	85	hsa-miR-548ap-3p
156	85	hsa-miR-548aa
157	85	hsa-miR-3692-3p
158	85	hsa-miR-4753-3p
159	85	hsa-miR-585-5p
160	85	hsa-miR-107
161	85	hsa-miR-103a-3p
162	84	hsa-miR-4766-3p
163	84	hsa-miR-6754-3p
164	84	hsa-miR-664b-3p
165	84	hsa-miR-579-3p
166	84	hsa-miR-548t-5p
167	84	hsa-miR-548az-5p
168	84	hsa-miR-3159
169	84	hsa-miR-4778-5p
170	84	hsa-miR-449b-3p
171	84	hsa-miR-4501
172	84	hsa-miR-7978
173	84	hsa-miR-548n
174	84	hsa-miR-548aq-3p
175	84	hsa-miR-548am-3p
176	84	hsa-miR-548ah-3p
177	84	hsa-miR-548ae-3p
178	84	hsa-miR-548g-3p
179	83	hsa-miR-6503-5p
180	83	hsa-miR-5682
181	83	hsa-miR-548x-5p
182	83	hsa-miR-548g-5p
183	83	hsa-miR-548aj-5p
184	83	hsa-miR-101-3p
185	83	hsa-miR-7157-5p
186	83	hsa-miR-4452
187	83	hsa-miR-139-5p
188	83	hsa-miR-4744
189	83	hsa-miR-2054
190	83	hsa-miR-4703-5p
191	83	hsa-miR-3925-5p
192	83	hsa-miR-513c-3p
193	83	hsa-miR-513a-3p
194	83	hsa-miR-4717-3p
195	83	hsa-miR-4735-5p
196	82	hsa-miR-3674
197	82	hsa-miR-1256
198	82	hsa-miR-142-5p
199	82	hsa-miR-6800-5p
200	82	hsa-miR-577
201	82	hsa-miR-548x-3p
202	82	hsa-miR-548aj-3p
203	82	hsa-miR-605-5p
204	82	hsa-miR-503-5p
205	82	hsa-miR-936
206	82	hsa-miR-5590-3p
207	82	hsa-miR-153-3p
208	82	hsa-miR-5696
209	82	hsa-miR-552-5p
210	82	hsa-miR-197-3p
211	82	hsa-miR-6805-3p
212	82	hsa-miR-5691
213	81	hsa-miR-548e-5p
214	81	hsa-miR-548f-5p
215	81	hsa-miR-6875-3p
216	81	hsa-miR-584-3p
217	81	hsa-miR-485-3p
218	81	hsa-miR-103b
219	81	hsa-miR-6866-5p
220	81	hsa-miR-7851-3p
221	81	hsa-miR-4528
222	81	hsa-miR-539-3p
223	81	hsa-miR-8063
224	81	hsa-miR-885-5p
225	81	hsa-miR-634
226	81	hsa-miR-4677-3p
227	81	hsa-miR-183-3p
228	81	hsa-miR-5195-3p
229	81	hsa-miR-145-5p
230	81	hsa-miR-624-3p
231	81	hsa-miR-548at-5p
232	81	hsa-miR-302d-3p
233	81	hsa-miR-302c-3p
234	81	hsa-miR-302b-3p
235	81	hsa-miR-302a-3p
236	81	hsa-miR-3529-3p
237	81	hsa-miR-3973
238	81	hsa-miR-7108-5p
239	81	hsa-miR-6728-3p
240	81	hsa-miR-325
241	80	hsa-miR-595
242	80	hsa-miR-561-3p
243	80	hsa-miR-4483
244	80	hsa-miR-3680-3p
245	80	hsa-miR-7-2-3p
246	80	hsa-miR-7-1-3p
247	80	hsa-miR-28-3p
248	80	hsa-miR-6507-3p
249	80	hsa-miR-20a-3p
250	80	hsa-miR-3942-5p
251	80	hsa-miR-421
252	80	hsa-miR-647
253	80	hsa-miR-627-5p
254	80	hsa-miR-8068
255	80	hsa-let-7c-3p
256	80	hsa-miR-641
257	80	hsa-miR-3617-5p
258	80	hsa-miR-346
259	80	hsa-miR-5087
260	80	hsa-miR-519c-3p
261	80	hsa-miR-519b-3p
262	80	hsa-miR-519a-3p
263	80	hsa-miR-3606-3p
264	79	hsa-miR-4531
265	79	hsa-miR-100-3p
266	79	hsa-miR-6863
267	79	hsa-miR-3941
268	79	hsa-miR-23c
269	79	hsa-miR-23b-3p
