miRNA	Virus	Start	End	Site type	Target Score
hsa-let-7a-2-3p	SARS-CoV-2	11835	11841	7mer-m8	61
hsa-let-7g-3p	SARS-CoV-2	11835	11841	7mer-m8	61
hsa-let-7a-2-3p	SARS-CoV-2	13160	13165	6mer	61
hsa-let-7g-3p	SARS-CoV-2	13160	13165	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	13312	13318	7mer-1a	61
hsa-let-7g-3p	SARS-CoV-2	13312	13318	7mer-1a	61
hsa-let-7a-2-3p	SARS-CoV-2	14499	14504	6mer	61
hsa-let-7g-3p	SARS-CoV-2	14499	14504	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	16211	16216	6mer	61
hsa-let-7g-3p	SARS-CoV-2	16211	16216	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	17426	17431	6mer	61
hsa-let-7g-3p	SARS-CoV-2	17426	17431	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	18497	18503	7mer-1a	61
hsa-let-7g-3p	SARS-CoV-2	18497	18503	7mer-1a	61
hsa-let-7a-2-3p	SARS-CoV-2	18537	18543	7mer-1a	61
hsa-let-7g-3p	SARS-CoV-2	18537	18543	7mer-1a	61
hsa-let-7a-2-3p	SARS-CoV-2	21008	21014	7mer-m8	61
hsa-let-7g-3p	SARS-CoV-2	21008	21014	7mer-m8	61
hsa-let-7a-2-3p	SARS-CoV-2	23774	23780	7mer-1a	61
hsa-let-7g-3p	SARS-CoV-2	23774	23780	7mer-1a	61
hsa-let-7a-2-3p	SARS-CoV-2	23781	23786	6mer	61
hsa-let-7g-3p	SARS-CoV-2	23781	23786	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	23840	23845	6mer	61
hsa-let-7g-3p	SARS-CoV-2	23840	23845	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	2412	2417	6mer	61
hsa-let-7g-3p	SARS-CoV-2	2412	2417	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	27182	27187	6mer	61
hsa-let-7g-3p	SARS-CoV-2	27182	27187	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	29758	29763	6mer	61
hsa-let-7g-3p	SARS-CoV-2	29758	29763	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	5571	5576	6mer	61
hsa-let-7g-3p	SARS-CoV-2	5571	5576	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	5930	5935	6mer	61
hsa-let-7g-3p	SARS-CoV-2	5930	5935	6mer	61
hsa-let-7a-2-3p	SARS-CoV-2	7378	7384	7mer-1a	61
