miRNA	Virus	Start	End	Site type	Target Score
hsa-let-7a-3p	HCoV-NL63	10825	10832	8mer-1a	71
hsa-let-7b-3p	HCoV-NL63	10825	10832	8mer-1a	71
hsa-let-7f-1-3p	HCoV-NL63	10825	10832	8mer-1a	74
hsa-miR-98-3p	HCoV-NL63	10825	10832	8mer-1a	71
hsa-let-7a-3p	HCoV-NL63	11307	11313	7mer-1a	71
hsa-let-7b-3p	HCoV-NL63	11307	11313	7mer-1a	71
hsa-let-7f-1-3p	HCoV-NL63	11307	11313	7mer-1a	74
hsa-miR-98-3p	HCoV-NL63	11307	11313	7mer-1a	71
hsa-let-7a-3p	HCoV-NL63	11768	11775	8mer-1a	71
hsa-let-7b-3p	HCoV-NL63	11768	11775	8mer-1a	71
hsa-let-7f-1-3p	HCoV-NL63	11768	11775	8mer-1a	74
hsa-miR-98-3p	HCoV-NL63	11768	11775	8mer-1a	71
hsa-let-7a-3p	HCoV-NL63	12653	12659	7mer-1a	71
hsa-let-7b-3p	HCoV-NL63	12653	12659	7mer-1a	71
hsa-let-7f-1-3p	HCoV-NL63	12653	12659	7mer-1a	74
hsa-miR-98-3p	HCoV-NL63	12653	12659	7mer-1a	71
hsa-let-7a-3p	HCoV-NL63	17950	17957	8mer-1a	71
hsa-let-7b-3p	HCoV-NL63	17950	17957	8mer-1a	71
hsa-let-7f-1-3p	HCoV-NL63	17950	17957	8mer-1a	74
hsa-miR-98-3p	HCoV-NL63	17950	17957	8mer-1a	71
hsa-let-7a-3p	HCoV-NL63	19235	19241	7mer-m8	71
hsa-let-7b-3p	HCoV-NL63	19235	19241	7mer-m8	71
hsa-let-7f-1-3p	HCoV-NL63	19235	19241	7mer-m8	74
hsa-miR-98-3p	HCoV-NL63	19235	19241	7mer-m8	71
hsa-let-7a-3p	HCoV-NL63	20847	20852	6mer	71
hsa-let-7b-3p	HCoV-NL63	20847	20852	6mer	71
hsa-let-7f-1-3p	HCoV-NL63	20847	20852	6mer	74
hsa-miR-98-3p	HCoV-NL63	20847	20852	6mer	71
hsa-let-7a-3p	HCoV-NL63	25121	25128	8mer-1a	71
hsa-let-7b-3p	HCoV-NL63	25121	25128	8mer-1a	71
hsa-let-7f-1-3p	HCoV-NL63	25121	25128	8mer-1a	74
hsa-miR-98-3p	HCoV-NL63	25121	25128	8mer-1a	71
hsa-let-7a-3p	HCoV-NL63	3892	3897	6mer	71
hsa-let-7b-3p	HCoV-NL63	3892	3897	6mer	71
hsa-let-7f-1-3p	HCoV-NL63	3892	3897	6mer	74
hsa-miR-98-3p	HCoV-NL63	3892	3897	6mer	71
hsa-let-7a-3p	HCoV-NL63	4069	4074	6mer	71
hsa-let-7b-3p	HCoV-NL63	4069	4074	6mer	71
hsa-let-7f-1-3p	HCoV-NL63	4069	4074	6mer	74
hsa-miR-98-3p	HCoV-NL63	4069	4074	6mer	71
hsa-let-7a-3p	HCoV-NL63	5335	5342	8mer-1a	71
hsa-let-7b-3p	HCoV-NL63	5335	5342	8mer-1a	71
hsa-let-7f-1-3p	HCoV-NL63	5335	5342	8mer-1a	74
hsa-miR-98-3p	HCoV-NL63	5335	5342	8mer-1a	71
hsa-let-7a-3p	HCoV-NL63	7978	7983	6mer	71
hsa-let-7b-3p	HCoV-NL63	7978	7983	6mer	71
hsa-let-7f-1-3p	HCoV-NL63	7978	7983	6mer	74
hsa-miR-98-3p	HCoV-NL63	7978	7983	6mer	71
hsa-let-7a-3p	HCoV-NL63	927	932	6mer	71
hsa-let-7b-3p	HCoV-NL63	927	932	6mer	71
hsa-let-7f-1-3p	HCoV-NL63	927	932	6mer	74
hsa-miR-98-3p	HCoV-NL63	927	932	6mer	71
hsa-let-7c-3p	HCoV-NL63	13095	13101	7mer-m8	68
hsa-let-7c-3p	HCoV-NL63	15408	15415	8mer-1a	68
hsa-let-7c-3p	HCoV-NL63	16333	16339	7mer-1a	68
hsa-let-7c-3p	HCoV-NL63	16635	16640	6mer	68
