miRNA	Virus	Start	End	Site type	Target Score
hsa-let-7a-3p	MERS-CoV	10834	10839	6mer	87
hsa-let-7b-3p	MERS-CoV	10834	10839	6mer	87
hsa-let-7f-1-3p	MERS-CoV	10834	10839	6mer	87
hsa-miR-98-3p	MERS-CoV	10834	10839	6mer	87
hsa-let-7a-3p	MERS-CoV	11789	11796	8mer-1a	87
hsa-let-7b-3p	MERS-CoV	11789	11796	8mer-1a	87
hsa-let-7f-1-3p	MERS-CoV	11789	11796	8mer-1a	87
hsa-miR-98-3p	MERS-CoV	11789	11796	8mer-1a	87
hsa-let-7a-3p	MERS-CoV	12274	12280	7mer-1a	87
hsa-let-7b-3p	MERS-CoV	12274	12280	7mer-1a	87
hsa-let-7f-1-3p	MERS-CoV	12274	12280	7mer-1a	87
hsa-miR-98-3p	MERS-CoV	12274	12280	7mer-1a	87
hsa-let-7a-3p	MERS-CoV	12404	12410	7mer-m8	87
hsa-let-7b-3p	MERS-CoV	12404	12410	7mer-m8	87
hsa-let-7f-1-3p	MERS-CoV	12404	12410	7mer-m8	87
hsa-miR-98-3p	MERS-CoV	12404	12410	7mer-m8	87
hsa-let-7a-3p	MERS-CoV	13794	13800	7mer-m8	87
hsa-let-7b-3p	MERS-CoV	13794	13800	7mer-m8	87
hsa-let-7f-1-3p	MERS-CoV	13794	13800	7mer-m8	87
hsa-miR-98-3p	MERS-CoV	13794	13800	7mer-m8	87
hsa-let-7a-3p	MERS-CoV	16083	16089	7mer-1a	87
hsa-let-7b-3p	MERS-CoV	16083	16089	7mer-1a	87
hsa-let-7f-1-3p	MERS-CoV	16083	16089	7mer-1a	87
hsa-miR-98-3p	MERS-CoV	16083	16089	7mer-1a	87
hsa-let-7a-3p	MERS-CoV	20096	20103	8mer-1a	87
hsa-let-7b-3p	MERS-CoV	20096	20103	8mer-1a	87
hsa-let-7f-1-3p	MERS-CoV	20096	20103	8mer-1a	87
hsa-miR-98-3p	MERS-CoV	20096	20103	8mer-1a	87
hsa-let-7a-3p	MERS-CoV	24944	24950	7mer-m8	87
hsa-let-7b-3p	MERS-CoV	24944	24950	7mer-m8	87
hsa-let-7f-1-3p	MERS-CoV	24944	24950	7mer-m8	87
hsa-miR-98-3p	MERS-CoV	24944	24950	7mer-m8	87
