a_Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
SARS-2	let-7-5p/98-5p	9606	12450	12455	12450	12455	1	6mer	x	6mer	9606		0
SARS-2	let-7-5p/98-5p	9606	19061	19067	19061	19067	2	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7-5p/98-5p	9606	9861	9866	9861	9866	3	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	11835	11841	11835	11841	4	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	13160	13165	13160	13165	5	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	13312	13318	13312	13318	6	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	14499	14504	14499	14504	7	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	16211	16216	16211	16216	8	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	17426	17431	17426	17431	9	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	18497	18503	18497	18503	10	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	18537	18543	18537	18543	11	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	21008	21014	21008	21014	12	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	23774	23780	23774	23780	13	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	23781	23786	23781	23786	14	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	23840	23845	23840	23845	15	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	2412	2417	2412	2417	16	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	27182	27187	27182	27187	17	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	29758	29763	29758	29763	18	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	5571	5576	5571	5576	19	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	5930	5935	5930	5935	20	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	7378	7384	7378	7384	21	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	7413	7418	7413	7418	22	6mer	x	6mer	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	7532	7538	7532	7538	23	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7a-2-3p/let-7g-3p	9606	9020	9026	9020	9026	24	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	11597	11603	11597	11603	25	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	12300	12306	12300	12306	26	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	17150	17155	17150	17155	27	6mer	x	6mer	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	19456	19462	19456	19462	28	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	22917	22922	22917	22922	29	6mer	x	6mer	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	25860	25866	25860	25866	30	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	26658	26664	26658	26664	31	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	3376	3381	3376	3381	32	6mer	x	6mer	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	4867	4872	4867	4872	33	6mer	x	6mer	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	6290	6295	6290	6295	34	6mer	x	6mer	9606		0
SARS-2	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	946	951	946	951	35	6mer	x	6mer	9606		0
SARS-2	let-7c-3p	9606	11836	11841	11836	11841	36	6mer	x	6mer	9606		0
SARS-2	let-7c-3p	9606	13160	13165	13160	13165	37	6mer	x	6mer	9606		0
SARS-2	let-7c-3p	9606	13312	13318	13312	13318	38	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7c-3p	9606	14498	14504	14498	14504	39	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7c-3p	9606	16211	16216	16211	16216	40	6mer	x	6mer	9606		0
SARS-2	let-7c-3p	9606	17426	17431	17426	17431	41	6mer	x	6mer	9606		0
SARS-2	let-7c-3p	9606	18497	18503	18497	18503	42	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7c-3p	9606	18536	18543	18536	18543	43	8mer-1a	x	8mer-1a	9606		0
SARS-2	let-7c-3p	9606	21009	21014	21009	21014	44	6mer	x	6mer	9606		0
SARS-2	let-7c-3p	9606	23773	23780	23773	23780	45	8mer-1a	x	8mer-1a	9606		0
SARS-2	let-7c-3p	9606	23781	23786	23781	23786	46	6mer	x	6mer	9606		0
SARS-2	let-7c-3p	9606	23839	23845	23839	23845	47	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7c-3p	9606	2411	2417	2411	2417	48	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7c-3p	9606	27181	27187	27181	27187	49	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7c-3p	9606	29758	29763	29758	29763	50	6mer	x	6mer	9606		0
SARS-2	let-7c-3p	9606	5571	5576	5571	5576	51	6mer	x	6mer	9606		0
SARS-2	let-7c-3p	9606	5929	5935	5929	5935	52	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7c-3p	9606	7377	7384	7377	7384	53	8mer-1a	x	8mer-1a	9606		0
SARS-2	let-7c-3p	9606	7413	7418	7413	7418	54	6mer	x	6mer	9606		0
SARS-2	let-7c-3p	9606	7532	7538	7532	7538	55	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7c-3p	9606	9020	9026	9020	9026	56	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7d-3p	9606	13529	13535	13529	13535	57	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7d-3p	9606	13959	13964	13959	13964	58	6mer	x	6mer	9606		0
SARS-2	let-7d-3p	9606	18526	18532	18526	18532	59	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7d-3p	9606	4719	4725	4719	4725	60	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7d-3p	9606	6270	6276	6270	6276	61	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7e-3p	9606	13530	13535	13530	13535	62	6mer	x	6mer	9606		0
SARS-2	let-7e-3p	9606	13959	13964	13959	13964	63	6mer	x	6mer	9606		0
SARS-2	let-7e-3p	9606	18526	18532	18526	18532	64	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7e-3p	9606	4719	4725	4719	4725	65	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7e-3p	9606	6270	6276	6270	6276	66	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	11597	11603	11597	11603	67	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	12300	12306	12300	12306	68	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	17150	17155	17150	17155	69	6mer	x	6mer	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	19456	19462	19456	19462	70	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	22916	22922	22916	22922	71	7mer-m8	x	7mer-m8	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	25861	25866	25861	25866	72	6mer	x	6mer	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	26659	26664	26659	26664	73	6mer	x	6mer	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	3376	3381	3376	3381	74	6mer	x	6mer	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	4867	4872	4867	4872	75	6mer	x	6mer	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	6290	6295	6290	6295	76	6mer	x	6mer	9606		0
SARS-2	let-7f-2-3p/1185-3p	9606	946	951	946	951	77	6mer	x	6mer	9606		0
SARS-2	let-7i-3p	9606	20466	20472	20466	20472	78	7mer-1a	x	7mer-1a	9606		0
SARS-2	let-7i-3p	9606	8365	8370	8365	8370	79	6mer	x	6mer	9606		0
SARS-2	miR-1-3p/206	9606	10074	10079	10074	10079	80	6mer	x	6mer	9606		0
SARS-2	miR-1-3p/206	9606	10470	10475	10470	10475	81	6mer	x	6mer	9606		0
SARS-2	miR-1-3p/206	9606	19313	19319	19313	19319	82	7mer-1a	x	7mer-1a	9606		0
SARS-2	miR-1-3p/206	9606	27150	27156	27150	27156	83	7mer-1a	x	7mer-1a	9606		0
SARS-2	miR-1-3p/206	9606	29357	29363	29357	29363	84	7mer-m8	x	7mer-m8	9606		0
SARS-2	miR-1-3p/206	9606	4892	4899	4892	4899	85	8mer-1a	x	8mer-1a	9606		0
SARS-2	miR-1-5p	9606	12608	12613	12608	12613	86	6mer	x	6mer	9606		0
SARS-2	miR-1-5p	9606	13307	13313	13307	13313	87	7mer-m8	x	7mer-m8	9606		0
SARS-2	miR-1-5p	9606	15073	15079	15073	15079	88	7mer-m8	x	7mer-m8	9606		0
SARS-2	miR-1-5p	9606	15592	15598	15592	15598	89	7mer-m8	x	7mer-m8	9606		0
SARS-2	miR-1-5p	9606	16067	16072	16067	16072	90	6mer	x	6mer	9606		0
SARS-2	miR-1-5p	9606	17297	17302	17297	17302	91	6mer	x	6mer	9606		0
SARS-2	miR-1-5p	9606	25175	25182	25175	25182	92	8mer-1a	x	8mer-1a	9606		0
SARS-2	miR-1-5p	9606	2966	2971	2966	2971	93	6mer	x	6mer	9606		0
SARS-2	miR-1-5p	9606	3108	3113	3108	3113	94	6mer	x	6mer	9606		0
SARS-2	miR-1-5p	9606	5703	5709	5703	5709	95	7mer-1a	x	7mer-1a	9606		0
SARS-2	miR-10-5p	9606	10279	10284	10279	10284	96	6mer	x	6mer	9606		0
SARS-2	miR-10-5p	9606	12029	12034	12029	12034	97	6mer	x	6mer	9606		0
SARS-2	miR-10-5p	9606	15903	15909	15903	15909	98	7mer-m8	x	7mer-m8	9606		0
SARS-2	miR-10-5p	9606	19674	19680	19674	19680	99	7mer-m8	x	7mer-m8	9606		0
SARS-2	miR-10-5p	9606	22108	22115	22108	22115	100	8mer-1a	x	8mer-1a	9606		0
SARS-2	miR-10-5p	9606	22214	22219	22214	22219	101	6mer	x	6mer	9606		0
SARS-2	miR-10-5p	9606	4259	4264	4259	4264	102	6mer	x	6mer	9606		0
SARS-2	miR-100-3p	9606	10399	10404	10399	10404	103	6mer	x	6mer	9606		0
SARS-2	miR-100-3p	9606	10669	10674	10669	10674	104	6mer	x	6mer	9606		0
