Target Rank	Target Score	miRNA Name
1	100	hsa-miR-196a-1-3p
2	100	hsa-miR-21-3p
3	100	hsa-miR-122b-3p
4	99	hsa-miR-548p
5	99	hsa-miR-5688
6	99	hsa-miR-3529-3p
7	99	hsa-miR-495-3p
8	99	hsa-miR-302c-5p
9	99	hsa-miR-3065-5p
10	98	hsa-miR-4291
11	98	hsa-miR-3143
12	98	hsa-miR-6715a-3p
13	98	hsa-miR-7-2-3p
14	98	hsa-miR-7-1-3p
15	97	hsa-miR-15a-5p
16	97	hsa-miR-4524b-5p
17	97	hsa-miR-543
18	97	hsa-miR-548t-3p
19	97	hsa-miR-548ap-3p
20	97	hsa-miR-548aa
21	97	hsa-miR-548e-5p
22	97	hsa-miR-194-5p
23	97	hsa-miR-195-5p
24	97	hsa-miR-4524a-5p
25	97	hsa-miR-6512-5p
26	96	hsa-miR-548z
27	96	hsa-miR-548h-3p
28	96	hsa-miR-548ac
29	96	hsa-miR-548d-3p
30	96	hsa-miR-548bb-3p
31	96	hsa-miR-16-5p
32	96	hsa-miR-6715b-3p
33	96	hsa-miR-15b-5p
34	96	hsa-miR-8063
35	95	hsa-miR-505-3p
36	95	hsa-miR-29c-3p
37	95	hsa-miR-29b-3p
38	95	hsa-miR-29a-3p
39	95	hsa-miR-5003-5p
40	95	hsa-miR-1323
41	94	hsa-miR-676-5p
42	94	hsa-miR-7159-5p
43	94	hsa-miR-6882-5p
44	94	hsa-miR-2053
45	94	hsa-miR-497-5p
46	94	hsa-miR-424-5p
47	93	hsa-miR-548o-3p
48	93	hsa-miR-6838-5p
49	93	hsa-miR-10527-5p
50	93	hsa-miR-548x-5p
51	93	hsa-miR-548g-5p
52	93	hsa-miR-548f-5p
53	93	hsa-miR-548aj-5p
54	93	hsa-miR-1468-3p
55	93	hsa-miR-215-3p
56	92	hsa-miR-451b
57	92	hsa-miR-338-3p
58	92	hsa-miR-3973
59	92	hsa-miR-8485
60	91	hsa-miR-1226-3p
61	91	hsa-miR-1248
62	91	hsa-miR-212-3p
63	91	hsa-miR-132-3p
64	90	hsa-miR-323a-3p
65	90	hsa-miR-1283
66	90	hsa-miR-4637
67	90	hsa-miR-4262
68	90	hsa-miR-3120-3p
69	90	hsa-miR-545-3p
70	90	hsa-miR-4766-3p
71	89	hsa-miR-330-3p
72	89	hsa-miR-3941
73	89	hsa-miR-4293
74	89	hsa-miR-4684-3p
75	89	hsa-miR-548aw
76	89	hsa-miR-3674
77	89	hsa-miR-542-3p
78	89	hsa-miR-548c-3p
