1 	94	mmu-miR-147-3p 	Ndufa4 	Ndufa4, mitochondrial complex associated	
2 	90	mmu-miR-147-3p 	Prkcz 	protein kinase C, zeta	
3 	88	mmu-miR-147-3p 	Zwilch 	zwilch kinetochore protein	
4 	87	mmu-miR-147-3p 	Fam222a 	family with sequence similarity 222, member A	
5 	86	mmu-miR-147-3p 	Alyref2 	Aly/REF export factor 2	
6 	85	mmu-miR-147-3p 	Tmem117 	transmembrane protein 117	
7 	80	mmu-miR-147-3p 	Pcdh15 	protocadherin 15	
8 	78	mmu-miR-147-3p 	Bdnf 	brain derived neurotrophic factor	
9 	78	mmu-miR-147-3p 	Armc1 	armadillo repeat containing 1	
10 	77	mmu-miR-147-3p 	Tspyl4 	TSPY-like 4	
11 	77	mmu-miR-147-3p 	Kif5a 	kinesin family member 5A	
12 	75	mmu-miR-147-3p 	Npas3 	neuronal PAS domain protein 3	
13 	75	mmu-miR-147-3p 	Hoxa9 	homeobox A9	
14 	74	mmu-miR-147-3p 	Mid1ip1 	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	
15 	73	mmu-miR-147-3p 	Lyn 	LYN proto-oncogene, Src family tyrosine kinase	
16 	70	mmu-miR-147-3p 	Usp45 	ubiquitin specific petidase 45	
17 	69	mmu-miR-147-3p 	Mlxip 	MLX interacting protein	
18 	68	mmu-miR-147-3p 	Nkx2-3 	NK2 homeobox 3	
19 	63	mmu-miR-147-3p 	9130019O22Rik 	RIKEN cDNA 9130019O22 gene	
20 	60	mmu-miR-147-3p 	Ick 	intestinal cell kinase	
21 	59	mmu-miR-147-3p 	Prokr1 	prokineticin receptor 1	
22 	59	mmu-miR-147-3p 	AI593442 	expressed sequence AI593442	
23 	58	mmu-miR-147-3p 	Cped1 	cadherin-like and PC-esterase domain containing 1	
24 	58	mmu-miR-147-3p 	AI464131 	expressed sequence AI464131	
25 	58	mmu-miR-147-3p 	Hus1 	HUS1 checkpoint clamp component	
26 	56	mmu-miR-147-3p 	Frzb 	frizzled-related protein	
27 	55	mmu-miR-147-3p 	Kmt2a 	lysine (K)-specific methyltransferase 2A	
28 	55	mmu-miR-147-3p 	Lamb2 	laminin, beta 2	
29 	54	mmu-miR-147-3p 	Nnat 	neuronatin	
30 	53	mmu-miR-147-3p 	Loxl2 	lysyl oxidase-like 2	
31 	51	mmu-miR-147-3p 	Ccdc182 	coiled-coil domain containing 182	
