miRNA	Virus	Start	End	Site type	Target Score
hsa-let-7a-2-3p	SARS-CoV	11765	11771	7mer-m8	76
hsa-let-7g-3p	SARS-CoV	11765	11771	7mer-m8	76
hsa-let-7a-2-3p	SARS-CoV	11868	11874	7mer-1a	76
hsa-let-7g-3p	SARS-CoV	11868	11874	7mer-1a	76
hsa-let-7a-2-3p	SARS-CoV	12230	12236	7mer-1a	76
hsa-let-7g-3p	SARS-CoV	12230	12236	7mer-1a	76
hsa-let-7a-2-3p	SARS-CoV	13090	13095	6mer	76
hsa-let-7g-3p	SARS-CoV	13090	13095	6mer	76
hsa-let-7a-2-3p	SARS-CoV	13936	13943	8mer-1a	76
hsa-let-7g-3p	SARS-CoV	13936	13943	8mer-1a	76
hsa-let-7a-2-3p	SARS-CoV	16141	16146	6mer	76
hsa-let-7g-3p	SARS-CoV	16141	16146	6mer	76
hsa-let-7a-2-3p	SARS-CoV	16795	16800	6mer	76
hsa-let-7g-3p	SARS-CoV	16795	16800	6mer	76
hsa-let-7a-2-3p	SARS-CoV	20629	20635	7mer-1a	76
hsa-let-7g-3p	SARS-CoV	20629	20635	7mer-1a	76
hsa-let-7a-2-3p	SARS-CoV	2079	2085	7mer-1a	76
hsa-let-7g-3p	SARS-CoV	2079	2085	7mer-1a	76
hsa-let-7a-2-3p	SARS-CoV	23656	23661	6mer	76
hsa-let-7g-3p	SARS-CoV	23656	23661	6mer	76
hsa-let-7a-2-3p	SARS-CoV	23800	23806	7mer-1a	76
hsa-let-7g-3p	SARS-CoV	23800	23806	7mer-1a	76
hsa-let-7a-2-3p	SARS-CoV	25873	25878	6mer	76
hsa-let-7g-3p	SARS-CoV	25873	25878	6mer	76
hsa-let-7a-2-3p	SARS-CoV	26531	26536	6mer	76
hsa-let-7g-3p	SARS-CoV	26531	26536	6mer	76
hsa-let-7a-2-3p	SARS-CoV	7308	7314	7mer-1a	76
hsa-let-7g-3p	SARS-CoV	7308	7314	7mer-1a	76
hsa-let-7a-2-3p	SARS-CoV	7343	7348	6mer	76
hsa-let-7g-3p	SARS-CoV	7343	7348	6mer	76
hsa-let-7a-2-3p	SARS-CoV	7462	7468	7mer-1a	76
hsa-let-7g-3p	SARS-CoV	7462	7468	7mer-1a	76
hsa-let-7a-2-3p	SARS-CoV	8950	8956	7mer-1a	76
hsa-let-7g-3p	SARS-CoV	8950	8956	7mer-1a	76
hsa-let-7c-3p	SARS-CoV	11766	11771	6mer	81
hsa-let-7c-3p	SARS-CoV	11868	11874	7mer-1a	81
hsa-let-7c-3p	SARS-CoV	12230	12236	7mer-1a	81
hsa-let-7c-3p	SARS-CoV	13090	13095	6mer	81
hsa-let-7c-3p	SARS-CoV	13937	13943	7mer-1a	81
hsa-let-7c-3p	SARS-CoV	16141	16146	6mer	81
hsa-let-7c-3p	SARS-CoV	16795	16800	6mer	81
hsa-let-7c-3p	SARS-CoV	20628	20635	8mer-1a	81
hsa-let-7c-3p	SARS-CoV	2078	2085	8mer-1a	81
hsa-let-7c-3p	SARS-CoV	23656	23661	6mer	81
hsa-let-7c-3p	SARS-CoV	23800	23806	7mer-1a	81
hsa-let-7c-3p	SARS-CoV	25872	25878	7mer-m8	81
hsa-let-7c-3p	SARS-CoV	26530	26536	7mer-m8	81
hsa-let-7c-3p	SARS-CoV	7307	7314	8mer-1a	81
hsa-let-7c-3p	SARS-CoV	7343	7348	6mer	81
hsa-let-7c-3p	SARS-CoV	7462	7468	7mer-1a	81
hsa-let-7c-3p	SARS-CoV	8950	8956	7mer-1a	81
hsa-miR-100-3p	SARS-CoV	11212	11217	6mer	78
hsa-miR-100-3p	SARS-CoV	12310	12317	8mer-1a	78
hsa-miR-100-3p	SARS-CoV	12678	12683	6mer	78
hsa-miR-100-3p	SARS-CoV	23342	23347	6mer	78
hsa-miR-100-3p	SARS-CoV	24868	24874	7mer-1a	78
hsa-miR-100-3p	SARS-CoV	25905	25911	7mer-1a	78
hsa-miR-100-3p	SARS-CoV	25970	25976	7mer-m8	78
hsa-miR-100-3p	SARS-CoV	26542	26548	7mer-m8	78
