Target Rank	Target Score	miRNA Name
1	100	hsa-miR-6512-5p
2	100	hsa-miR-196a-1-3p
3	99	hsa-miR-4803
4	99	hsa-miR-21-3p
5	99	hsa-miR-122b-3p
6	99	hsa-miR-5688
7	99	hsa-miR-3065-5p
8	99	hsa-miR-302c-5p
9	98	hsa-miR-548c-3p
10	98	hsa-miR-3163
11	98	hsa-miR-5582-3p
12	98	hsa-miR-495-3p
13	98	hsa-miR-7-2-3p
14	98	hsa-miR-548t-3p
15	98	hsa-miR-548ap-3p
16	98	hsa-miR-548aa
17	98	hsa-miR-374a-5p
18	98	hsa-miR-7-1-3p
19	98	hsa-miR-5692a
20	97	hsa-miR-8063
21	97	hsa-miR-548as-3p
22	97	hsa-miR-676-5p
23	97	hsa-miR-4789-5p
24	97	hsa-miR-374b-5p
25	97	hsa-miR-548p
26	97	hsa-miR-3671
27	97	hsa-miR-8485
28	97	hsa-miR-126-5p
29	97	hsa-miR-4709-5p
30	97	hsa-miR-4422
31	97	hsa-miR-4668-3p
32	97	hsa-miR-4282
33	97	hsa-miR-548d-3p
34	96	hsa-miR-16-5p
35	96	hsa-miR-548z
36	96	hsa-miR-548h-3p
37	96	hsa-miR-548bb-3p
38	96	hsa-miR-548ac
39	96	hsa-miR-195-5p
40	96	hsa-miR-548ay-3p
41	96	hsa-miR-499a-5p
42	96	hsa-miR-3187-3p
43	96	hsa-miR-607
44	96	hsa-miR-3529-3p
45	96	hsa-miR-15b-5p
46	95	hsa-miR-15a-5p
47	95	hsa-miR-548n
48	95	hsa-miR-3941
49	95	hsa-miR-548am-3p
50	95	hsa-miR-548ah-3p
51	95	hsa-miR-548x-3p
52	95	hsa-miR-548aj-3p
53	95	hsa-miR-548at-3p
54	95	hsa-miR-548j-3p
55	95	hsa-miR-548aq-3p
56	95	hsa-miR-548ae-3p
57	95	hsa-miR-486-5p
58	95	hsa-miR-4801
59	95	hsa-miR-4766-3p
60	94	hsa-miR-4524b-5p
61	94	hsa-miR-519d-5p
62	94	hsa-miR-369-3p
63	94	hsa-miR-4291
64	94	hsa-miR-497-3p
65	94	hsa-miR-513c-3p
66	94	hsa-miR-513a-3p
67	94	hsa-miR-4310
68	94	hsa-miR-5692c
69	94	hsa-miR-5692b
70	94	hsa-miR-6507-5p
71	94	hsa-miR-3143
72	94	hsa-miR-4731-3p
73	93	hsa-miR-362-3p
74	93	hsa-miR-551b-5p
75	93	hsa-miR-508-3p
76	93	hsa-miR-4524a-5p
77	93	hsa-miR-302b-5p
78	93	hsa-miR-329-3p
79	93	hsa-miR-424-5p
80	93	hsa-miR-548e-5p
81	92	hsa-miR-1468-3p
82	92	hsa-miR-12136
83	92	hsa-miR-302d-5p
84	92	hsa-miR-497-5p
85	92	hsa-miR-6838-5p
86	92	hsa-miR-548an
87	91	hsa-miR-7159-5p
88	91	hsa-miR-410-3p
89	91	hsa-miR-1323
90	91	hsa-miR-2276-3p
91	91	hsa-miR-585-5p
92	91	hsa-miR-3606-3p
93	91	hsa-miR-802
94	91	hsa-miR-487a-3p
95	91	hsa-miR-154-3p
96	91	hsa-miR-7157-5p
97	90	hsa-miR-2054
98	90	hsa-miR-4427
99	90	hsa-miR-4793-5p
100	90	hsa-miR-3617-3p
101	90	hsa-miR-186-5p
102	90	hsa-miR-4804-3p
103	90	hsa-miR-3675-3p
104	89	hsa-miR-5197-5p
105	89	hsa-miR-34b-3p
106	89	hsa-miR-12117
107	89	hsa-miR-374b-3p
108	89	hsa-miR-4793-3p
109	89	hsa-miR-4719
110	89	hsa-miR-519e-5p
111	89	hsa-miR-515-5p
112	88	hsa-miR-548o-3p
113	88	hsa-miR-499b-3p
114	88	hsa-miR-499a-3p
115	88	hsa-miR-3145-5p
116	88	hsa-miR-548aw
