a_Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
OC43	let-7-5p/98-5p	9606	11458	11464	11458	11464	1	7mer-1a	x	7mer-1a	9606		0
OC43	let-7-5p/98-5p	9606	18823	18828	18823	18828	2	6mer	x	6mer	9606		0
OC43	let-7-5p/98-5p	9606	29224	29230	29224	29230	3	7mer-m8	x	7mer-m8	9606		0
OC43	let-7-5p/98-5p	9606	29749	29755	29749	29755	4	7mer-m8	x	7mer-m8	9606		0
OC43	let-7-5p/98-5p	9606	9010	9016	9010	9016	5	7mer-1a	x	7mer-1a	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	10604	10610	10604	10610	6	7mer-1a	x	7mer-1a	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	11110	11116	11110	11116	7	7mer-1a	x	7mer-1a	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	13193	13199	13193	13199	8	7mer-1a	x	7mer-1a	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	13402	13408	13402	13408	9	7mer-1a	x	7mer-1a	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	14113	14118	14113	14118	10	6mer	x	6mer	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	15975	15981	15975	15981	11	7mer-1a	x	7mer-1a	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	16388	16393	16388	16393	12	6mer	x	6mer	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	16475	16480	16475	16480	13	6mer	x	6mer	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	16994	16999	16994	16999	14	6mer	x	6mer	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	23207	23213	23207	23213	15	7mer-m8	x	7mer-m8	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	26424	26429	26424	26429	16	6mer	x	6mer	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	27205	27210	27205	27210	17	6mer	x	6mer	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	27603	27608	27603	27608	18	6mer	x	6mer	9606		0
OC43	let-7a-2-3p/let-7g-3p	9606	4838	4843	4838	4843	19	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	11059	11064	11059	11064	20	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	11088	11095	11088	11095	21	8mer-1a	x	8mer-1a	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	12196	12202	12196	12202	22	7mer-1a	x	7mer-1a	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	13124	13130	13124	13130	23	7mer-m8	x	7mer-m8	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	13836	13842	13836	13842	24	7mer-1a	x	7mer-1a	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	14762	14767	14762	14767	25	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	15495	15500	15495	15500	26	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	17007	17013	17007	17013	27	7mer-m8	x	7mer-m8	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	18611	18618	18611	18618	28	8mer-1a	x	8mer-1a	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	19248	19253	19248	19253	29	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	19485	19491	19485	19491	30	7mer-m8	x	7mer-m8	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	19779	19784	19779	19784	31	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	20938	20945	20938	20945	32	8mer-1a	x	8mer-1a	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	23995	24000	23995	24000	33	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	28752	28757	28752	28757	34	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	30578	30583	30578	30583	35	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	3844	3850	3844	3850	36	7mer-1a	x	7mer-1a	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	4022	4029	4022	4029	37	8mer-1a	x	8mer-1a	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	5965	5970	5965	5970	38	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	7165	7170	7165	7170	39	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	8301	8306	8301	8306	40	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	8995	9000	8995	9000	41	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	9476	9481	9476	9481	42	6mer	x	6mer	9606		0
OC43	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	9783	9790	9783	9790	43	8mer-1a	x	8mer-1a	9606		0
OC43	let-7c-3p	9606	10603	10610	10603	10610	44	8mer-1a	x	8mer-1a	9606		0
OC43	let-7c-3p	9606	11110	11116	11110	11116	45	7mer-1a	x	7mer-1a	9606		0
OC43	let-7c-3p	9606	13192	13199	13192	13199	46	8mer-1a	x	8mer-1a	9606		0
OC43	let-7c-3p	9606	13402	13408	13402	13408	47	7mer-1a	x	7mer-1a	9606		0
OC43	let-7c-3p	9606	14112	14118	14112	14118	48	7mer-m8	x	7mer-m8	9606		0
OC43	let-7c-3p	9606	15974	15981	15974	15981	49	8mer-1a	x	8mer-1a	9606		0
OC43	let-7c-3p	9606	16387	16393	16387	16393	50	7mer-m8	x	7mer-m8	9606		0
OC43	let-7c-3p	9606	16475	16480	16475	16480	51	6mer	x	6mer	9606		0
OC43	let-7c-3p	9606	16993	16999	16993	16999	52	7mer-m8	x	7mer-m8	9606		0
OC43	let-7c-3p	9606	23208	23213	23208	23213	53	6mer	x	6mer	9606		0
OC43	let-7c-3p	9606	26423	26429	26423	26429	54	7mer-m8	x	7mer-m8	9606		0
OC43	let-7c-3p	9606	27205	27210	27205	27210	55	6mer	x	6mer	9606		0
OC43	let-7c-3p	9606	27602	27608	27602	27608	56	7mer-m8	x	7mer-m8	9606		0
OC43	let-7c-3p	9606	4838	4843	4838	4843	57	6mer	x	6mer	9606		0
OC43	let-7d-3p	9606	15808	15814	15808	15814	58	7mer-m8	x	7mer-m8	9606		0
OC43	let-7d-3p	9606	15960	15965	15960	15965	59	6mer	x	6mer	9606		0
OC43	let-7d-3p	9606	16420	16426	16420	16426	60	7mer-m8	x	7mer-m8	9606		0
OC43	let-7d-3p	9606	28598	28603	28598	28603	61	6mer	x	6mer	9606		0
OC43	let-7e-3p	9606	15809	15814	15809	15814	62	6mer	x	6mer	9606		0
OC43	let-7e-3p	9606	15960	15965	15960	15965	63	6mer	x	6mer	9606		0
OC43	let-7e-3p	9606	16421	16426	16421	16426	64	6mer	x	6mer	9606		0
OC43	let-7e-3p	9606	28598	28603	28598	28603	65	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	11059	11064	11059	11064	66	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	11089	11095	11089	11095	67	7mer-1a	x	7mer-1a	9606		0
OC43	let-7f-2-3p/1185-3p	9606	12196	12202	12196	12202	68	7mer-1a	x	7mer-1a	9606		0
OC43	let-7f-2-3p/1185-3p	9606	13125	13130	13125	13130	69	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	13836	13842	13836	13842	70	7mer-1a	x	7mer-1a	9606		0
OC43	let-7f-2-3p/1185-3p	9606	14762	14767	14762	14767	71	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	15495	15500	15495	15500	72	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	17008	17013	17008	17013	73	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	18612	18618	18612	18618	74	7mer-1a	x	7mer-1a	9606		0
OC43	let-7f-2-3p/1185-3p	9606	19248	19253	19248	19253	75	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	19486	19491	19486	19491	76	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	19779	19784	19779	19784	77	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	20939	20945	20939	20945	78	7mer-1a	x	7mer-1a	9606		0
OC43	let-7f-2-3p/1185-3p	9606	23995	24000	23995	24000	79	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	28752	28757	28752	28757	80	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	30578	30583	30578	30583	81	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	3844	3850	3844	3850	82	7mer-1a	x	7mer-1a	9606		0
OC43	let-7f-2-3p/1185-3p	9606	4023	4029	4023	4029	83	7mer-1a	x	7mer-1a	9606		0
OC43	let-7f-2-3p/1185-3p	9606	5965	5970	5965	5970	84	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	7164	7170	7164	7170	85	7mer-m8	x	7mer-m8	9606		0
OC43	let-7f-2-3p/1185-3p	9606	8300	8306	8300	8306	86	7mer-m8	x	7mer-m8	9606		0
OC43	let-7f-2-3p/1185-3p	9606	8994	9000	8994	9000	87	7mer-m8	x	7mer-m8	9606		0
OC43	let-7f-2-3p/1185-3p	9606	9476	9481	9476	9481	88	6mer	x	6mer	9606		0
OC43	let-7f-2-3p/1185-3p	9606	9784	9790	9784	9790	89	7mer-1a	x	7mer-1a	9606		0
OC43	let-7i-3p	9606	15278	15283	15278	15283	90	6mer	x	6mer	9606		0
OC43	let-7i-3p	9606	338	344	338	344	91	7mer-1a	x	7mer-1a	9606		0
OC43	let-7i-3p	9606	8012	8017	8012	8017	92	6mer	x	6mer	9606		0
OC43	miR-1-3p/206	9606	19164	19170	19164	19170	93	7mer-1a	x	7mer-1a	9606		0
OC43	miR-1-3p/206	9606	2293	2299	2293	2299	94	7mer-m8	x	7mer-m8	9606		0
OC43	miR-1-5p	9606	12264	12269	12264	12269	95	6mer	x	6mer	9606		0
OC43	miR-1-5p	9606	14118	14124	14118	14124	96	7mer-1a	x	7mer-1a	9606		0
OC43	miR-1-5p	9606	14174	14179	14174	14179	97	6mer	x	6mer	9606		0
OC43	miR-1-5p	9606	14255	14260	14255	14260	98	6mer	x	6mer	9606		0
OC43	miR-1-5p	9606	15563	15569	15563	15569	99	7mer-1a	x	7mer-1a	9606		0
OC43	miR-1-5p	9606	16689	16694	16689	16694	100	6mer	x	6mer	9606		0
OC43	miR-1-5p	9606	17156	17162	17156	17162	101	7mer-m8	x	7mer-m8	9606		0
OC43	miR-1-5p	9606	17225	17230	17225	17230	102	6mer	x	6mer	9606		0
OC43	miR-1-5p	9606	20228	20234	20228	20234	103	7mer-m8	x	7mer-m8	9606		0
OC43	miR-1-5p	9606	27105	27111	27105	27111	104	7mer-m8	x	7mer-m8	9606		0
OC43	miR-1-5p	9606	28518	28523	28518	28523	105	6mer	x	6mer	9606		0
OC43	miR-1-5p	9606	6456	6462	6456	6462	106	7mer-m8	x	7mer-m8	9606		0
OC43	miR-1-5p	9606	6786	6791	6786	6791	107	6mer	x	6mer	9606		0
OC43	miR-1-5p	9606	7084	7090	7084	7090	108	7mer-1a	x	7mer-1a	9606		0
OC43	miR-1-5p	9606	8709	8714	8709	8714	109	6mer	x	6mer	9606		0
OC43	miR-1-5p	9606	973	978	973	978	110	6mer	x	6mer	9606		0
OC43	miR-10-5p	9606	17110	17115	17110	17115	111	6mer	x	6mer	9606		0
OC43	miR-10-5p	9606	21566	21571	21566	21571	112	6mer	x	6mer	9606		0
OC43	miR-10-5p	9606	29628	29633	29628	29633	113	6mer	x	6mer	9606		0
OC43	miR-10-5p	9606	4298	4305	4298	4305	114	8mer-1a	x	8mer-1a	9606		0
OC43	miR-10-5p	9606	4845	4851	4845	4851	115	7mer-1a	x	7mer-1a	9606		0
OC43	miR-10-5p	9606	8030	8037	8030	8037	116	8mer-1a	x	8mer-1a	9606		0
OC43	miR-10-5p	9606	8268	8274	8268	8274	117	7mer-1a	x	7mer-1a	9606		0
OC43	miR-100-3p	9606	11868	11874	11868	11874	118	7mer-m8	x	7mer-m8	9606		0
OC43	miR-100-3p	9606	14138	14145	14138	14145	119	8mer-1a	x	8mer-1a	9606		0
OC43	miR-100-3p	9606	16108	16113	16108	16113	120	6mer	x	6mer	9606		0
OC43	miR-100-3p	9606	19471	19477	19471	19477	121	7mer-m8	x	7mer-m8	9606		0
OC43	miR-100-3p	9606	24655	24661	24655	24661	122	7mer-m8	x	7mer-m8	9606		0
