miRNA	Virus	Start	End	Site type	Target Score
hsa-let-7a-2-3p	HCoV-229E	10481	10486	6mer	57
hsa-let-7g-3p	HCoV-229E	10481	10486	6mer	57
hsa-let-7a-2-3p	HCoV-229E	10923	10929	7mer-m8	57
hsa-let-7g-3p	HCoV-229E	10923	10929	7mer-m8	57
hsa-let-7a-2-3p	HCoV-229E	11388	11394	7mer-1a	57
hsa-let-7g-3p	HCoV-229E	11388	11394	7mer-1a	57
hsa-let-7a-2-3p	HCoV-229E	12469	12475	7mer-m8	57
hsa-let-7g-3p	HCoV-229E	12469	12475	7mer-m8	57
hsa-let-7a-2-3p	HCoV-229E	15551	15557	7mer-1a	57
hsa-let-7g-3p	HCoV-229E	15551	15557	7mer-1a	57
hsa-let-7a-2-3p	HCoV-229E	16267	16272	6mer	57
hsa-let-7g-3p	HCoV-229E	16267	16272	6mer	57
hsa-let-7a-2-3p	HCoV-229E	18032	18038	7mer-1a	57
hsa-let-7g-3p	HCoV-229E	18032	18038	7mer-1a	57
hsa-let-7a-2-3p	HCoV-229E	20211	20217	7mer-1a	57
hsa-let-7g-3p	HCoV-229E	20211	20217	7mer-1a	57
hsa-let-7a-2-3p	HCoV-229E	3779	3785	7mer-1a	57
hsa-let-7g-3p	HCoV-229E	3779	3785	7mer-1a	57
hsa-let-7a-2-3p	HCoV-229E	4251	4256	6mer	57
hsa-let-7g-3p	HCoV-229E	4251	4256	6mer	57
hsa-let-7a-2-3p	HCoV-229E	9147	9152	6mer	57
hsa-let-7g-3p	HCoV-229E	9147	9152	6mer	57
hsa-let-7a-3p	HCoV-229E	10535	10541	7mer-m8	70
hsa-let-7b-3p	HCoV-229E	10535	10541	7mer-m8	73
hsa-let-7f-1-3p	HCoV-229E	10535	10541	7mer-m8	70
hsa-miR-98-3p	HCoV-229E	10535	10541	7mer-m8	70
hsa-let-7a-3p	HCoV-229E	12734	12740	7mer-1a	70
hsa-let-7b-3p	HCoV-229E	12734	12740	7mer-1a	73
hsa-let-7f-1-3p	HCoV-229E	12734	12740	7mer-1a	70
hsa-miR-98-3p	HCoV-229E	12734	12740	7mer-1a	70
hsa-let-7a-3p	HCoV-229E	16466	16472	7mer-m8	70
hsa-let-7b-3p	HCoV-229E	16466	16472	7mer-m8	73
hsa-let-7f-1-3p	HCoV-229E	16466	16472	7mer-m8	70
hsa-miR-98-3p	HCoV-229E	16466	16472	7mer-m8	70
hsa-let-7a-3p	HCoV-229E	19741	19748	8mer-1a	70
hsa-let-7b-3p	HCoV-229E	19741	19748	8mer-1a	73
hsa-let-7f-1-3p	HCoV-229E	19741	19748	8mer-1a	70
hsa-miR-98-3p	HCoV-229E	19741	19748	8mer-1a	70
hsa-let-7a-3p	HCoV-229E	22809	22814	6mer	70
hsa-let-7b-3p	HCoV-229E	22809	22814	6mer	73
hsa-let-7f-1-3p	HCoV-229E	22809	22814	6mer	70
hsa-miR-98-3p	HCoV-229E	22809	22814	6mer	70
hsa-let-7a-3p	HCoV-229E	24679	24684	6mer	70
hsa-let-7b-3p	HCoV-229E	24679	24684	6mer	73
hsa-let-7f-1-3p	HCoV-229E	24679	24684	6mer	70
hsa-miR-98-3p	HCoV-229E	24679	24684	6mer	70
hsa-let-7a-3p	HCoV-229E	3578	3583	6mer	70
hsa-let-7b-3p	HCoV-229E	3578	3583	6mer	73
hsa-let-7f-1-3p	HCoV-229E	3578	3583	6mer	70
hsa-miR-98-3p	HCoV-229E	3578	3583	6mer	70
hsa-let-7a-3p	HCoV-229E	3615	3620	6mer	70
hsa-let-7b-3p	HCoV-229E	3615	3620	6mer	73
hsa-let-7f-1-3p	HCoV-229E	3615	3620	6mer	70
hsa-miR-98-3p	HCoV-229E	3615	3620	6mer	70
hsa-let-7c-3p	HCoV-229E	10480	10486	7mer-m8	79
hsa-let-7c-3p	HCoV-229E	10924	10929	6mer	79
hsa-let-7c-3p	HCoV-229E	11388	11394	7mer-1a	79
hsa-let-7c-3p	HCoV-229E	12470	12475	6mer	79
hsa-let-7c-3p	HCoV-229E	15550	15557	8mer-1a	79
hsa-let-7c-3p	HCoV-229E	16267	16272	6mer	79
hsa-let-7c-3p	HCoV-229E	18031	18038	8mer-1a	79
hsa-let-7c-3p	HCoV-229E	20210	20217	8mer-1a	79
hsa-let-7c-3p	HCoV-229E	3779	3785	7mer-1a	79
hsa-let-7c-3p	HCoV-229E	4251	4256	6mer	79
hsa-let-7c-3p	HCoV-229E	9146	9152	7mer-m8	79
hsa-let-7i-3p	HCoV-229E	21754	21761	8mer-1a	52
hsa-let-7i-3p	HCoV-229E	363	370	8mer-1a	52
hsa-let-7i-3p	HCoV-229E	9194	9201	8mer-1a	52
hsa-miR-100-3p	HCoV-229E	14453	14458	6mer	74
hsa-miR-100-3p	HCoV-229E	15637	15643	7mer-m8	74
hsa-miR-100-3p	HCoV-229E	16640	16645	6mer	74
hsa-miR-100-3p	HCoV-229E	22074	22079	6mer	74
hsa-miR-100-3p	HCoV-229E	22601	22606	6mer	74
hsa-miR-100-3p	HCoV-229E	23292	23297	6mer	74
hsa-miR-100-3p	HCoV-229E	24417	24422	6mer	74
hsa-miR-100-3p	HCoV-229E	26566	26571	6mer	74
hsa-miR-100-3p	HCoV-229E	5802	5808	7mer-1a	74
hsa-miR-107	HCoV-229E	11377	11383	7mer-1a	87
hsa-miR-107	HCoV-229E	13001	13007	7mer-m8	87
hsa-miR-107	HCoV-229E	13820	13827	8mer-1a	87
hsa-miR-107	HCoV-229E	18018	18023	6mer	87
hsa-miR-107	HCoV-229E	22951	22957	7mer-1a	87
hsa-miR-107	HCoV-229E	23385	23391	7mer-m8	87
hsa-miR-107	HCoV-229E	2367	2373	7mer-m8	87
hsa-miR-107	HCoV-229E	26243	26248	6mer	87
hsa-miR-107	HCoV-229E	4197	4203	7mer-m8	87
hsa-miR-107	HCoV-229E	4819	4824	6mer	87
hsa-miR-107	HCoV-229E	5460	5466	7mer-m8	87
hsa-miR-107	HCoV-229E	6543	6548	6mer	87
hsa-miR-107	HCoV-229E	8536	8542	7mer-1a	87
hsa-miR-107	HCoV-229E	8782	8788	7mer-1a	87
hsa-miR-107	HCoV-229E	8938	8943	6mer	87
hsa-miR-107	HCoV-229E	8941	8947	7mer-1a	87
hsa-miR-107	HCoV-229E	9021	9027	7mer-m8	87
hsa-miR-107	HCoV-229E	9810	9816	7mer-m8	87
hsa-miR-107	HCoV-229E	9937	9942	6mer	87
hsa-miR-105-5p	HCoV-229E	10254	10259	6mer	85
hsa-miR-105-5p	HCoV-229E	11589	11594	6mer	85
hsa-miR-105-5p	HCoV-229E	12589	12596	8mer-1a	85
hsa-miR-105-5p	HCoV-229E	131	136	6mer	85
hsa-miR-105-5p	HCoV-229E	1748	1755	8mer-1a	85
hsa-miR-105-5p	HCoV-229E	18662	18667	6mer	85
hsa-miR-105-5p	HCoV-229E	18781	18788	8mer-1a	85
hsa-miR-105-5p	HCoV-229E	20130	20135	6mer	85
hsa-miR-105-5p	HCoV-229E	21042	21047	6mer	85
hsa-miR-105-5p	HCoV-229E	23619	23624	6mer	85
hsa-miR-105-5p	HCoV-229E	25031	25037	7mer-1a	85
hsa-miR-105-5p	HCoV-229E	27216	27221	6mer	85
hsa-miR-105-5p	HCoV-229E	3402	3408	7mer-1a	85
hsa-miR-105-5p	HCoV-229E	5163	5169	7mer-1a	85
hsa-miR-105-5p	HCoV-229E	5507	5513	7mer-m8	85
hsa-miR-105-5p	HCoV-229E	6470	6475	6mer	85
hsa-miR-105-5p	HCoV-229E	6666	6672	7mer-1a	85
hsa-miR-105-5p	HCoV-229E	8928	8934	7mer-1a	85
hsa-miR-105-5p	HCoV-229E	8952	8957	6mer	85
hsa-miR-106a-3p	HCoV-229E	11758	11763	6mer	72
hsa-miR-106a-3p	HCoV-229E	12085	12091	7mer-1a	72
hsa-miR-106a-3p	HCoV-229E	12318	12323	6mer	72
hsa-miR-106a-3p	HCoV-229E	14621	14627	7mer-1a	72
hsa-miR-106a-3p	HCoV-229E	18449	18454	6mer	72
hsa-miR-106a-3p	HCoV-229E	20420	20426	7mer-1a	72
hsa-miR-106a-3p	HCoV-229E	21330	21336	7mer-1a	72
hsa-miR-106a-3p	HCoV-229E	22194	22199	6mer	72
hsa-miR-106a-3p	HCoV-229E	22911	22917	7mer-m8	72
hsa-miR-106a-3p	HCoV-229E	23607	23613	7mer-1a	72
hsa-miR-106a-3p	HCoV-229E	23830	23836	7mer-1a	72
hsa-miR-106a-3p	HCoV-229E	24110	24117	8mer-1a	72
hsa-miR-106a-3p	HCoV-229E	2801	2806	6mer	72
hsa-miR-106a-3p	HCoV-229E	444	449	6mer	72
hsa-miR-106a-3p	HCoV-229E	457	463	7mer-m8	72
hsa-miR-106a-3p	HCoV-229E	5414	5419	6mer	72
hsa-miR-106a-3p	HCoV-229E	8324	8329	6mer	72
hsa-miR-1183	HCoV-229E	10926	10931	6mer	53
hsa-miR-1183	HCoV-229E	11947	11952	6mer	53
hsa-miR-1183	HCoV-229E	13595	13600	6mer	53
hsa-miR-1183	HCoV-229E	14145	14150	6mer	53
hsa-miR-1183	HCoV-229E	15263	15270	8mer-1a	53
hsa-miR-1183	HCoV-229E	17063	17068	6mer	53
hsa-miR-1183	HCoV-229E	21049	21054	6mer	53
hsa-miR-1183	HCoV-229E	2192	2198	7mer-1a	53
hsa-miR-1183	HCoV-229E	24084	24090	7mer-1a	53
hsa-miR-1183	HCoV-229E	25690	25696	7mer-m8	53
hsa-miR-1183	HCoV-229E	4060	4065	6mer	53
hsa-miR-1183	HCoV-229E	5420	5427	8mer-1a	53
hsa-miR-1183	HCoV-229E	6004	6009	6mer	53
hsa-miR-1183	HCoV-229E	8255	8260	6mer	53
hsa-miR-1206	HCoV-229E	10987	10994	8mer-1a	80
hsa-miR-1206	HCoV-229E	15206	15212	7mer-1a	80
hsa-miR-1206	HCoV-229E	17219	17225	7mer-1a	80
hsa-miR-1206	HCoV-229E	20204	20209	6mer	80
hsa-miR-1206	HCoV-229E	4388	4394	7mer-m8	80
hsa-miR-1206	HCoV-229E	4431	4437	7mer-1a	80
hsa-miR-1206	HCoV-229E	6684	6689	6mer	80
hsa-miR-1207-3p	HCoV-229E	12158	12164	7mer-m8	69
hsa-miR-1207-3p	HCoV-229E	15530	15535	6mer	69
hsa-miR-1207-3p	HCoV-229E	15677	15683	7mer-1a	69
hsa-miR-1207-3p	HCoV-229E	1608	1613	6mer	69
hsa-miR-1207-3p	HCoV-229E	24701	24707	7mer-m8	69
hsa-miR-1207-3p	HCoV-229E	26581	26586	6mer	69
hsa-miR-1207-3p	HCoV-229E	5009	5016	8mer-1a	69
hsa-miR-1207-3p	HCoV-229E	6237	6242	6mer	69
hsa-miR-1226-3p	HCoV-229E	1137	1143	7mer-1a	91
hsa-miR-1226-3p	HCoV-229E	11627	11633	7mer-m8	91
hsa-miR-1226-3p	HCoV-229E	1166	1172	7mer-m8	91
hsa-miR-1226-3p	HCoV-229E	11937	11942	6mer	91
hsa-miR-1226-3p	HCoV-229E	14510	14515	6mer	91
hsa-miR-1226-3p	HCoV-229E	14525	14531	7mer-1a	91
hsa-miR-1226-3p	HCoV-229E	14998	15004	7mer-m8	91
hsa-miR-1226-3p	HCoV-229E	17608	17613	6mer	91
hsa-miR-1226-3p	HCoV-229E	17876	17882	7mer-1a	91
hsa-miR-1226-3p	HCoV-229E	19997	20003	7mer-1a	91
hsa-miR-1226-3p	HCoV-229E	21536	21542	7mer-m8	91
hsa-miR-1226-3p	HCoV-229E	21933	21938	6mer	91
hsa-miR-1226-3p	HCoV-229E	22998	23003	6mer	91
hsa-miR-1226-3p	HCoV-229E	24800	24805	6mer	91
hsa-miR-1226-3p	HCoV-229E	2978	2984	7mer-m8	91
hsa-miR-1226-3p	HCoV-229E	5211	5216	6mer	91
hsa-miR-1226-3p	HCoV-229E	7742	7749	8mer-1a	91
hsa-miR-1226-3p	HCoV-229E	8117	8123	7mer-m8	91
hsa-miR-1226-3p	HCoV-229E	9507	9513	7mer-1a	91
hsa-miR-1226-3p	HCoV-229E	9948	9953	6mer	91
hsa-miR-1236-3p	HCoV-229E	1295	1300	6mer	54
hsa-miR-1236-3p	HCoV-229E	27204	27210	7mer-m8	54
hsa-miR-1236-3p	HCoV-229E	3407	3412	6mer	54
hsa-miR-1236-3p	HCoV-229E	815	821	7mer-1a	54
hsa-miR-1244	HCoV-229E	15925	15931	7mer-1a	67
hsa-miR-1244	HCoV-229E	17137	17142	6mer	67
hsa-miR-1244	HCoV-229E	19350	19356	7mer-m8	67
hsa-miR-1244	HCoV-229E	2045	2050	6mer	67
hsa-miR-1244	HCoV-229E	20840	20845	6mer	67
hsa-miR-1244	HCoV-229E	21083	21089	7mer-1a	67
hsa-miR-1244	HCoV-229E	21233	21238	6mer	67
hsa-miR-1244	HCoV-229E	24794	24799	6mer	67
hsa-miR-1244	HCoV-229E	24824	24830	7mer-1a	67
hsa-miR-1244	HCoV-229E	25517	25523	7mer-1a	67
hsa-miR-1244	HCoV-229E	26649	26655	7mer-1a	67
hsa-miR-1244	HCoV-229E	6282	6288	7mer-m8	67
hsa-miR-1246	HCoV-229E	10119	10126	8mer-1a	73
hsa-miR-1246	HCoV-229E	14210	14217	8mer-1a	73
hsa-miR-1246	HCoV-229E	17776	17783	8mer-1a	73
hsa-miR-1246	HCoV-229E	18048	18054	7mer-m8	73
