Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Tfap2e	ENSMUST00000048194.7	transcription factor AP-2, epsilon 	5	1	1	0	0	0	mmu-miR-5099	-0.77	-0.77	< 0.1
Nmbr	ENSMUST00000190751.1	neuromedin B receptor 	27	1	1	0	0	0	mmu-miR-5099	-0.59	-0.59	< 0.1
Nhlh1	ENSMUST00000059794.3	nescient helix loop helix 1 	5	2	0	1	1	0	mmu-miR-5099	-0.57	-0.57	< 0.1
Gm5087	ENSMUST00000060526.5	predicted gene 5087 	5	1	1	0	0	0	mmu-miR-5099	-0.52	-0.52	< 0.1
Toporsl	ENSMUST00000029995.5	topoisomerase I binding, arginine/serine-rich like 	5	2	0	0	2	0	mmu-miR-5099	-0.51	-0.51	< 0.1
Npy5r	ENSMUST00000070810.7	neuropeptide Y receptor Y5 	5	1	1	0	0	0	mmu-miR-5099	-0.49	-0.49	< 0.1
Sec22a	ENSMUST00000043521.4	SEC22 vesicle trafficking protein homolog A (S. cerevisiae) 	619	1	1	0	0	0	mmu-miR-5099	-0.49	-0.49	< 0.1
Kremen2	ENSMUST00000046525.8	kringle containing transmembrane protein 2 	5	2	0	0	2	0	mmu-miR-5099	-0.49	-0.49	< 0.1
Htr2c	ENSMUST00000156697.2	5-hydroxytryptamine (serotonin) receptor 2C 	11	2	0	2	0	0	mmu-miR-5099	-0.48	-0.48	< 0.1
Ccdc178	ENSMUST00000025160.3	coiled coil domain containing 178 	7	1	1	0	0	0	mmu-miR-5099	-0.47	-0.47	< 0.1
Tmem39a	ENSMUST00000171687.2	transmembrane protein 39a 	915	1	0	1	0	1	mmu-miR-5099	-0.46	-0.57	< 0.1
Tmem263	ENSMUST00000095383.4	transmembrane protein 263 	1292	2	0	0	2	2	mmu-miR-5099	-0.46	-0.55	< 0.1
Ifltd1	ENSMUST00000111706.2	intermediate filament tail domain containing 1 	32	2	0	0	2	0	mmu-miR-5099	-0.46	-0.46	< 0.1
Hoxd9	ENSMUST00000059272.9	homeobox D9 	265	1	1	0	0	0	mmu-miR-5099	-0.45	-0.45	< 0.1
Serp1	ENSMUST00000029385.7	stress-associated endoplasmic reticulum protein 1 	4897	1	1	0	0	0	mmu-miR-5099	-0.43	-0.49	< 0.1
Gm9945	ENSMUST00000067523.1	predicted gene 9945 	5	1	0	1	0	0	mmu-miR-5099	-0.41	-0.41	< 0.1
Phex	ENSMUST00000079945.5	phosphate regulating gene with homologies to endopeptidases on the X chromosome (hypophosphatemia, vitamin D resistant rickets) 	14	2	1	0	1	0	mmu-miR-5099	-0.41	-0.41	< 0.1
Wbp5	ENSMUST00000048687.5	WW domain binding protein 5 	52	1	0	1	0	0	mmu-miR-5099	-0.41	-0.41	< 0.1
BC016579	ENSMUST00000036732.7	cDNA sequence, BC016579 	6	1	0	1	0	0	mmu-miR-5099	-0.40	-0.40	< 0.1
Rnd3	ENSMUST00000154545.1	Rho family GTPase 3 	111	1	1	0	0	2	mmu-miR-5099	-0.40	-0.42	< 0.1
BC051076	ENSMUST00000069773.6	cDNA sequence BC051076 	5	1	0	1	0	3	mmu-miR-5099	-0.39	-0.39	< 0.1
Ryr3	ENSMUST00000080673.6	ryanodine receptor 3 	39	1	1	0	0	0	mmu-miR-5099	-0.38	-0.38	< 0.1
Pla2g5	ENSMUST00000102512.5	phospholipase A2, group V 	159	1	0	1	0	1	mmu-miR-5099	-0.38	-0.38	< 0.1
4933400A11Rik	ENSMUST00000068894.1	RIKEN cDNA 4933400A11 gene 	5	1	0	1	0	0	mmu-miR-5099	-0.38	-0.38	< 0.1
Cep19	ENSMUST00000115168.3	centrosomal protein 19 	195	1	0	1	0	0	mmu-miR-5099	-0.37	-0.37	< 0.1
Gm20826	ENSMUST00000185348.1	predicted gene, 20826 	5	2	0	0	2	0	mmu-miR-5099	-0.37	-0.37	< 0.1
