Target Rank	Target Score	miRNA Name
1	100	hsa-miR-15b-5p
2	100	hsa-miR-15a-5p
3	100	hsa-miR-195-5p
4	100	hsa-miR-16-5p
5	99	hsa-miR-497-5p
6	99	hsa-miR-424-5p
7	99	hsa-miR-6838-5p
8	99	hsa-miR-4291
9	98	hsa-miR-196a-1-3p
10	97	hsa-miR-451b
11	97	hsa-miR-505-3p
12	96	hsa-miR-597-5p
13	96	hsa-miR-4524b-5p
14	96	hsa-miR-4524a-5p
15	96	hsa-miR-585-5p
16	95	hsa-miR-4672
17	94	hsa-miR-545-3p
18	94	hsa-miR-503-5p
19	94	hsa-miR-4310
20	94	hsa-miR-20b-3p
21	94	hsa-miR-3617-3p
22	94	hsa-miR-4293
23	94	hsa-miR-4282
24	93	hsa-miR-153-3p
25	93	hsa-miR-3065-3p
26	93	hsa-miR-494-3p
27	93	hsa-miR-4775
28	93	hsa-miR-3613-5p
29	92	hsa-miR-302c-5p
30	92	hsa-miR-21-3p
31	92	hsa-miR-3925-5p
32	92	hsa-miR-3973
33	92	hsa-miR-122b-3p
34	92	hsa-miR-409-3p
35	91	hsa-miR-646
36	91	hsa-miR-449b-3p
37	91	hsa-miR-493-5p
38	90	hsa-miR-107
39	90	hsa-miR-103a-3p
40	90	hsa-miR-6818-5p
41	90	hsa-miR-3123
42	90	hsa-miR-497-3p
43	90	hsa-miR-6790-5p
44	90	hsa-miR-4658
45	89	hsa-miR-4288
46	89	hsa-miR-33a-3p
47	89	hsa-miR-4276
48	89	hsa-miR-1231
49	89	hsa-miR-581
50	89	hsa-miR-4502
51	89	hsa-miR-548t-3p
52	89	hsa-miR-548ap-3p
53	89	hsa-miR-548aa
54	89	hsa-miR-466
55	88	hsa-miR-4703-5p
56	88	hsa-miR-653-5p
57	88	hsa-miR-548p
58	88	hsa-miR-4694-5p
59	88	hsa-miR-4758-5p
60	88	hsa-miR-1238-5p
61	88	hsa-miR-301b-3p
62	88	hsa-miR-301a-3p
63	87	hsa-miR-4715-5p
64	87	hsa-miR-7852-3p
65	87	hsa-miR-3942-5p
66	87	hsa-miR-147a
67	87	hsa-miR-3120-3p
68	87	hsa-miR-454-3p
69	87	hsa-miR-203a-3p
70	87	hsa-miR-664b-3p
71	87	hsa-miR-579-3p
72	87	hsa-miR-936
73	87	hsa-miR-3680-3p
74	86	hsa-miR-6844
75	86	hsa-miR-28-3p
76	86	hsa-miR-592
77	86	hsa-miR-7157-5p
78	86	hsa-miR-4267
79	86	hsa-miR-130b-3p
80	86	hsa-miR-4642
81	86	hsa-miR-10527-5p
82	86	hsa-miR-8081
83	86	hsa-miR-520h
84	86	hsa-miR-520g-3p
85	86	hsa-miR-1322
86	85	hsa-miR-6809-3p
87	85	hsa-miR-6811-3p
88	85	hsa-miR-4452
89	85	hsa-miR-29c-3p
90	85	hsa-miR-29b-3p
91	85	hsa-miR-29a-3p
92	85	hsa-miR-5682
93	85	hsa-miR-3182
94	85	hsa-miR-4295
95	85	hsa-miR-3666
96	85	hsa-miR-130a-3p
97	85	hsa-miR-4659b-5p
98	85	hsa-miR-1236-3p
99	84	hsa-miR-6835-3p
100	84	hsa-miR-6820-3p
101	84	hsa-miR-3164
102	84	hsa-miR-599
103	84	hsa-miR-4516
104	84	hsa-miR-922
105	84	hsa-miR-1305
106	84	hsa-miR-519e-5p
107	84	hsa-miR-515-5p
108	84	hsa-miR-6895-3p
109	84	hsa-miR-1179
110	84	hsa-miR-2053
111	84	hsa-miR-5585-5p
112	84	hsa-miR-3619-5p
113	84	hsa-miR-222-5p
114	84	hsa-miR-892a
115	83	hsa-miR-1226-3p
116	83	hsa-miR-3692-3p
117	83	hsa-miR-2054
118	83	hsa-miR-4659a-5p
119	83	hsa-miR-5010-3p
120	83	hsa-miR-5579-3p
121	83	hsa-miR-3912-5p
122	83	hsa-miR-3129-5p
123	83	hsa-miR-196b-5p
124	83	hsa-miR-196a-5p
125	83	hsa-miR-6513-3p
126	83	hsa-miR-205-3p
127	83	hsa-miR-5571-5p
128	82	hsa-miR-548g-3p
129	82	hsa-miR-7159-5p
130	82	hsa-miR-4738-3p
131	82	hsa-miR-506-3p
132	82	hsa-miR-124-3p
133	82	hsa-miR-214-3p
134	82	hsa-miR-30e-5p
135	82	hsa-miR-30d-5p
136	82	hsa-miR-30c-5p
137	82	hsa-miR-30b-5p
138	82	hsa-miR-30a-5p
139	82	hsa-miR-548as-3p
140	82	hsa-miR-421
141	82	hsa-miR-4262
142	82	hsa-miR-3674
143	82	hsa-miR-1297
144	82	hsa-miR-199b-3p
145	82	hsa-miR-199a-3p
146	82	hsa-miR-557
147	81	hsa-miR-4312
148	81	hsa-miR-3133
149	81	hsa-miR-548d-3p
150	81	hsa-miR-597-3p
151	81	hsa-miR-891a-3p
152	81	hsa-let-7c-3p
153	81	hsa-miR-5701
154	81	hsa-miR-3137
155	81	hsa-miR-649
156	81	hsa-miR-493-3p
157	81	hsa-miR-548z
158	81	hsa-miR-548h-3p
159	81	hsa-miR-548bb-3p
160	81	hsa-miR-548ac
161	80	hsa-miR-507
162	80	hsa-miR-8485
163	80	hsa-miR-302f
164	80	hsa-miR-4711-5p
165	80	hsa-miR-6833-3p
166	80	hsa-miR-411-5p
167	80	hsa-miR-7109-3p
168	80	hsa-miR-1248
169	80	hsa-miR-1303
170	80	hsa-miR-545-5p
171	80	hsa-miR-382-5p
172	80	hsa-miR-6728-3p
173	80	hsa-miR-4531
174	80	hsa-miR-490-3p
175	79	hsa-miR-1244
176	79	hsa-miR-877-3p
177	79	hsa-miR-761
178	79	hsa-miR-302b-5p
179	79	hsa-miR-374b-3p
180	79	hsa-miR-539-5p
181	79	hsa-miR-3910
182	79	hsa-miR-6806-3p
183	79	hsa-miR-3928-5p
184	79	hsa-miR-224-5p
185	79	hsa-miR-129-2-3p
186	79	hsa-miR-129-1-3p
187	79	hsa-miR-7112-3p
188	78	hsa-miR-100-3p
189	78	hsa-miR-4481
190	78	hsa-miR-6783-3p
191	78	hsa-miR-5590-5p
192	78	hsa-miR-1537-5p
193	78	hsa-miR-3682-5p
194	78	hsa-miR-1343-3p
195	78	hsa-miR-3065-5p
196	78	hsa-miR-216b-5p
197	78	hsa-miR-1283
198	78	hsa-miR-3622b-3p
199	78	hsa-miR-3622a-3p
200	78	hsa-miR-4716-5p
201	78	hsa-miR-6822-3p
202	78	hsa-miR-4766-3p
203	78	hsa-miR-452-3p
204	77	hsa-miR-302d-5p
205	77	hsa-miR-578
206	77	hsa-miR-548f-5p
207	77	hsa-miR-125b-2-3p
208	77	hsa-miR-1236-5p
209	77	hsa-miR-5190
210	77	hsa-miR-2115-3p
211	77	hsa-miR-573
212	77	hsa-miR-3688-5p
213	77	hsa-miR-6776-3p
214	77	hsa-miR-6072
215	77	hsa-miR-548ax
216	77	hsa-miR-548ao-5p
217	77	hsa-miR-3149
218	77	hsa-miR-219a-1-3p
219	77	hsa-miR-7849-3p
220	77	hsa-miR-655-3p
221	77	hsa-miR-374c-5p
222	77	hsa-miR-5696
223	76	hsa-miR-4326
224	76	hsa-miR-219b-3p
225	76	hsa-miR-183-5p
226	76	hsa-miR-6742-3p
227	76	hsa-miR-4768-5p
228	76	hsa-miR-802
229	76	hsa-miR-4717-3p
230	76	hsa-miR-4424
231	76	hsa-miR-548x-5p
232	76	hsa-miR-548g-5p
233	76	hsa-miR-548aj-5p
234	76	hsa-miR-448
235	76	hsa-miR-6515-3p
236	76	hsa-let-7g-3p
237	76	hsa-let-7a-2-3p
238	76	hsa-miR-375-3p
239	75	hsa-miR-6881-3p
240	75	hsa-miR-5688
241	75	hsa-miR-4268
242	75	hsa-miR-7107-3p
243	75	hsa-miR-6753-3p
244	75	hsa-miR-7161-5p
245	75	hsa-miR-519d-5p
246	75	hsa-miR-6875-3p
247	75	hsa-miR-571
248	75	hsa-miR-501-5p
249	75	hsa-miR-3119
250	75	hsa-miR-4323
251	75	hsa-miR-4468
252	74	hsa-miR-6829-3p
253	74	hsa-miR-548y
254	74	hsa-miR-320e
255	74	hsa-miR-548u
256	74	hsa-miR-3616-5p
257	74	hsa-miR-3908
258	74	hsa-miR-6733-3p
259	74	hsa-miR-4659b-3p
