Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Abi2	ENSMUST00000052332.9	abl-interactor 2 	208	3	2	1	0	5	mmu-miR-21a-3p	-0.77	-0.92	< 0.1
Prkrir	ENSMUST00000033009.10	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor) 	4083	4	0	3	1	1	mmu-miR-21a-3p	-0.76	-0.82	< 0.1
Srsf2	ENSMUST00000092404.7	serine/arginine-rich splicing factor 2 	17408	2	1	0	1	1	mmu-miR-21a-3p	-0.66	-0.68	< 0.1
Cd164	ENSMUST00000019962.9	CD164 antigen 	19474	3	0	0	3	1	mmu-miR-21a-3p	-0.66	-0.68	< 0.1
Atp6v1f	ENSMUST00000004396.7	ATPase, H+ transporting, lysosomal V1 subunit F 	4301	1	1	0	0	1	mmu-miR-21a-3p	-0.65	-0.65	< 0.1
9230112D13Rik	ENSMUST00000022325.1	RIKEN cDNA 9230112D13 gene 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.65	-0.65	< 0.1
Paf1	ENSMUST00000003529.8	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) 	1785	1	1	0	0	0	mmu-miR-21a-3p	-0.64	-0.65	< 0.1
Nck1	ENSMUST00000116522.2	non-catalytic region of tyrosine kinase adaptor protein 1 	558	6	0	5	1	1	mmu-miR-21a-3p	-0.64	-0.90	< 0.1
Fam135a	ENSMUST00000187752.1	family with sequence similarity 135, member A 	561	2	1	0	1	0	mmu-miR-21a-3p	-0.62	-0.67	< 0.1
Zbtb20	ENSMUST00000114694.3	zinc finger and BTB domain containing 20 	293	8	0	7	1	5	mmu-miR-21a-3p	-0.61	-0.82	< 0.1
Tomm6	ENSMUST00000113301.1	translocase of outer mitochondrial membrane 6 homolog (yeast) 	882	2	1	1	0	0	mmu-miR-21a-3p	-0.60	-0.72	< 0.1
Eif4ebp2	ENSMUST00000020288.8	eukaryotic translation initiation factor 4E binding protein 2 	13138	2	1	1	0	2	mmu-miR-21a-3p	-0.59	-0.64	< 0.1
Tktl1	ENSMUST00000010127.6	transketolase-like 1 	5	4	0	4	0	0	mmu-miR-21a-3p	-0.59	-0.59	< 0.1
Sprr2j-ps	ENSMUST00000029533.1	small proline-rich protein 2J, pseudogene 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.59	-0.59	< 0.1
Gm101	ENSMUST00000174370.2	predicted gene 101 	19	1	1	0	0	0	mmu-miR-21a-3p	-0.59	-0.63	< 0.1
Esm1	ENSMUST00000038144.8	endothelial cell-specific molecule 1 	129	2	1	0	1	1	mmu-miR-21a-3p	-0.58	-0.61	< 0.1
Prdm11	ENSMUST00000111274.2	PR domain containing 11 	40	2	0	0	2	5	mmu-miR-21a-3p	-0.57	-0.65	< 0.1
Olfr812	ENSMUST00000057775.2	olfactory receptor 812 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.57	-0.57	< 0.1
Egfl8	ENSMUST00000097345.4	EGF-like domain 8 	32	1	1	0	0	0	mmu-miR-21a-3p	-0.57	-0.57	< 0.1
Slc18a2	ENSMUST00000026084.3	solute carrier family 18 (vesicular monoamine), member 2 	30	3	2	0	1	0	mmu-miR-21a-3p	-0.57	-0.57	< 0.1
Rnf152	ENSMUST00000058688.6	ring finger protein 152 	313	6	0	3	3	3	mmu-miR-21a-3p	-0.57	-0.60	< 0.1
Lrcol1	ENSMUST00000100924.4	leucine rich colipase-like 1 	6	1	1	0	0	0	mmu-miR-21a-3p	-0.56	-0.56	< 0.1
Plaur	ENSMUST00000002284.9	plasminogen activator, urokinase receptor 	1813	1	1	0	0	0	mmu-miR-21a-3p	-0.56	-0.56	< 0.1
Cks1brt	ENSMUST00000076896.5	CDC28 protein kinase 1b, retrogene 	7	3	1	1	1	0	mmu-miR-21a-3p	-0.56	-0.65	< 0.1
Rock1	ENSMUST00000067947.5	Rho-associated coiled-coil containing protein kinase 1 	1601	1	1	0	0	2	mmu-miR-21a-3p	-0.55	-0.55	< 0.1
Wbp5	ENSMUST00000048687.5	WW domain binding protein 5 	52	1	1	0	0	0	mmu-miR-21a-3p	-0.54	-0.54	< 0.1
Tbc1d8b	ENSMUST00000096313.3	TBC1 domain family, member 8B 	166	2	1	1	0	0	mmu-miR-21a-3p	-0.53	-0.53	< 0.1
Zdhhc21	ENSMUST00000030110.9	zinc finger, DHHC domain containing 21 	885	2	1	1	0	4	mmu-miR-21a-3p	-0.53	-0.55	< 0.1
Lrrc47	ENSMUST00000169622.2	leucine rich repeat containing 47 	756	2	0	2	0	1	mmu-miR-21a-3p	-0.53	-0.62	< 0.1
Tra2a	ENSMUST00000031841.7	transformer 2 alpha homolog (Drosophila) 	25	2	1	1	0	0	mmu-miR-21a-3p	-0.53	-0.64	< 0.1
Gm20878	ENSMUST00000153997.2	predicted gene, 20878 	5	3	0	2	1	0	mmu-miR-21a-3p	-0.53	-0.56	< 0.1
Traf5	ENSMUST00000085573.6	TNF receptor-associated factor 5 	92	1	1	0	0	0	mmu-miR-21a-3p	-0.53	-0.55	< 0.1
Gm11563	ENSMUST00000092695.4	predicted gene 11563 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.53	-0.53	< 0.1
C1qbp	ENSMUST00000078528.6	complement component 1, q subcomponent binding protein 	28128	1	1	0	0	0	mmu-miR-21a-3p	-0.52	-0.52	< 0.1
Ube2g2	ENSMUST00000174510.2	ubiquitin-conjugating enzyme E2G 2 	1548	1	1	0	0	0	mmu-miR-21a-3p	-0.52	-0.53	< 0.1
Slc25a51	ENSMUST00000107796.2	solute carrier family 25, member 51 	225	5	0	4	1	0	mmu-miR-21a-3p	-0.51	-0.59	< 0.1
Pde1c	ENSMUST00000166890.2	phosphodiesterase 1C 	153	4	3	1	0	0	mmu-miR-21a-3p	-0.51	-0.58	< 0.1
Clec4n	ENSMUST00000112554.3	C-type lectin domain family 4, member n 	82	1	1	0	0	0	mmu-miR-21a-3p	-0.50	-0.50	< 0.1
RP23-179B10.2	ENSMUST00000191526.1		8	1	1	0	0	0	mmu-miR-21a-3p	-0.50	-0.50	< 0.1
Cln6	ENSMUST00000034776.7	ceroid-lipofuscinosis, neuronal 6 	286	3	0	3	0	1	mmu-miR-21a-3p	-0.50	-0.52	< 0.1
Rps18	ENSMUST00000174609.3	ribosomal protein S18 	14	1	1	0	0	0	mmu-miR-21a-3p	-0.50	-0.66	< 0.1
Pank3	ENSMUST00000018990.7	pantothenate kinase 3 	3244	3	1	1	1	1	mmu-miR-21a-3p	-0.49	-0.52	< 0.1
Tfg	ENSMUST00000065515.8	Trk-fused gene 	86	1	1	0	0	0	mmu-miR-21a-3p	-0.49	-0.49	< 0.1
Sprr3	ENSMUST00000058142.3	small proline-rich protein 3 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.49	-0.49	< 0.1
Pigc	ENSMUST00000111594.2	phosphatidylinositol glycan anchor biosynthesis, class C 	795	2	1	0	1	0	mmu-miR-21a-3p	-0.49	-0.62	< 0.1
