a_Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
229E	let-7-5p/98-5p	9606	15605	15611	15605	15611	1	7mer-m8	x	7mer-m8	9606		0
229E	let-7-5p/98-5p	9606	17381	17386	17381	17386	2	6mer	x	6mer	9606		0
229E	let-7-5p/98-5p	9606	17516	17521	17516	17521	3	6mer	x	6mer	9606		0
229E	let-7-5p/98-5p	9606	20755	20761	20755	20761	4	7mer-1a	x	7mer-1a	9606		0
229E	let-7-5p/98-5p	9606	25801	25806	25801	25806	5	6mer	x	6mer	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	10481	10486	10481	10486	6	6mer	x	6mer	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	10923	10929	10923	10929	7	7mer-m8	x	7mer-m8	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	11388	11394	11388	11394	8	7mer-1a	x	7mer-1a	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	12469	12475	12469	12475	9	7mer-m8	x	7mer-m8	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	15551	15557	15551	15557	10	7mer-1a	x	7mer-1a	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	16267	16272	16267	16272	11	6mer	x	6mer	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	18032	18038	18032	18038	12	7mer-1a	x	7mer-1a	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	20211	20217	20211	20217	13	7mer-1a	x	7mer-1a	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	3779	3785	3779	3785	14	7mer-1a	x	7mer-1a	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	4251	4256	4251	4256	15	6mer	x	6mer	9606		0
229E	let-7a-2-3p/let-7g-3p	9606	9147	9152	9147	9152	16	6mer	x	6mer	9606		0
229E	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	10535	10541	10535	10541	17	7mer-m8	x	7mer-m8	9606		0
229E	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	12734	12740	12734	12740	18	7mer-1a	x	7mer-1a	9606		0
229E	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	16466	16472	16466	16472	19	7mer-m8	x	7mer-m8	9606		0
229E	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	19741	19748	19741	19748	20	8mer-1a	x	8mer-1a	9606		0
229E	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	22809	22814	22809	22814	21	6mer	x	6mer	9606		0
229E	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	24679	24684	24679	24684	22	6mer	x	6mer	9606		0
229E	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	3578	3583	3578	3583	23	6mer	x	6mer	9606		0
229E	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	3615	3620	3615	3620	24	6mer	x	6mer	9606		0
229E	let-7c-3p	9606	10480	10486	10480	10486	25	7mer-m8	x	7mer-m8	9606		0
229E	let-7c-3p	9606	10924	10929	10924	10929	26	6mer	x	6mer	9606		0
229E	let-7c-3p	9606	11388	11394	11388	11394	27	7mer-1a	x	7mer-1a	9606		0
229E	let-7c-3p	9606	12470	12475	12470	12475	28	6mer	x	6mer	9606		0
229E	let-7c-3p	9606	15550	15557	15550	15557	29	8mer-1a	x	8mer-1a	9606		0
229E	let-7c-3p	9606	16267	16272	16267	16272	30	6mer	x	6mer	9606		0
229E	let-7c-3p	9606	18031	18038	18031	18038	31	8mer-1a	x	8mer-1a	9606		0
229E	let-7c-3p	9606	20210	20217	20210	20217	32	8mer-1a	x	8mer-1a	9606		0
229E	let-7c-3p	9606	3779	3785	3779	3785	33	7mer-1a	x	7mer-1a	9606		0
229E	let-7c-3p	9606	4251	4256	4251	4256	34	6mer	x	6mer	9606		0
229E	let-7c-3p	9606	9146	9152	9146	9152	35	7mer-m8	x	7mer-m8	9606		0
229E	let-7d-3p	9606	16105	16111	16105	16111	36	7mer-1a	x	7mer-1a	9606		0
229E	let-7d-3p	9606	16447	16452	16447	16452	37	6mer	x	6mer	9606		0
229E	let-7d-3p	9606	24227	24232	24227	24232	38	6mer	x	6mer	9606		0
229E	let-7d-3p	9606	8799	8804	8799	8804	39	6mer	x	6mer	9606		0
229E	let-7e-3p	9606	16105	16111	16105	16111	40	7mer-1a	x	7mer-1a	9606		0
229E	let-7e-3p	9606	16447	16452	16447	16452	41	6mer	x	6mer	9606		0
229E	let-7e-3p	9606	24227	24232	24227	24232	42	6mer	x	6mer	9606		0
229E	let-7e-3p	9606	8799	8804	8799	8804	43	6mer	x	6mer	9606		0
229E	let-7f-2-3p/1185-3p	9606	10536	10541	10536	10541	44	6mer	x	6mer	9606		0
229E	let-7f-2-3p/1185-3p	9606	12734	12740	12734	12740	45	7mer-1a	x	7mer-1a	9606		0
229E	let-7f-2-3p/1185-3p	9606	16467	16472	16467	16472	46	6mer	x	6mer	9606		0
229E	let-7f-2-3p/1185-3p	9606	19742	19748	19742	19748	47	7mer-1a	x	7mer-1a	9606		0
229E	let-7f-2-3p/1185-3p	9606	22809	22814	22809	22814	48	6mer	x	6mer	9606		0
229E	let-7f-2-3p/1185-3p	9606	24679	24684	24679	24684	49	6mer	x	6mer	9606		0
229E	let-7f-2-3p/1185-3p	9606	3578	3583	3578	3583	50	6mer	x	6mer	9606		0
229E	let-7f-2-3p/1185-3p	9606	3615	3620	3615	3620	51	6mer	x	6mer	9606		0
229E	let-7i-3p	9606	21754	21761	21754	21761	52	8mer-1a	x	8mer-1a	9606		0
229E	let-7i-3p	9606	363	370	363	370	53	8mer-1a	x	8mer-1a	9606		0
229E	let-7i-3p	9606	9194	9201	9194	9201	54	8mer-1a	x	8mer-1a	9606		0
229E	miR-1-3p/206	9606	15515	15520	15515	15520	55	6mer	x	6mer	9606		0
229E	miR-1-3p/206	9606	8050	8056	8050	8056	56	7mer-1a	x	7mer-1a	9606		0
229E	miR-1-5p	9606	10109	10114	10109	10114	57	6mer	x	6mer	9606		0
229E	miR-1-5p	9606	11241	11247	11241	11247	58	7mer-1a	x	7mer-1a	9606		0
229E	miR-1-5p	9606	11912	11918	11912	11918	59	7mer-m8	x	7mer-m8	9606		0
229E	miR-1-5p	9606	15247	15252	15247	15252	60	6mer	x	6mer	9606		0
229E	miR-1-5p	9606	15294	15299	15294	15299	61	6mer	x	6mer	9606		0
229E	miR-1-5p	9606	18152	18158	18152	18158	62	7mer-1a	x	7mer-1a	9606		0
229E	miR-1-5p	9606	1850	1856	1850	1856	63	7mer-m8	x	7mer-m8	9606		0
229E	miR-1-5p	9606	19294	19300	19294	19300	64	7mer-m8	x	7mer-m8	9606		0
229E	miR-1-5p	9606	23960	23965	23960	23965	65	6mer	x	6mer	9606		0
229E	miR-1-5p	9606	6116	6121	6116	6121	66	6mer	x	6mer	9606		0
229E	miR-10-5p	9606	10409	10414	10409	10414	67	6mer	x	6mer	9606		0
229E	miR-10-5p	9606	16119	16125	16119	16125	68	7mer-m8	x	7mer-m8	9606		0
229E	miR-10-5p	9606	2533	2539	2533	2539	69	7mer-m8	x	7mer-m8	9606		0
229E	miR-10-5p	9606	25734	25740	25734	25740	70	7mer-1a	x	7mer-1a	9606		0
229E	miR-10-5p	9606	4674	4681	4674	4681	71	8mer-1a	x	8mer-1a	9606		0
229E	miR-100-3p	9606	14453	14458	14453	14458	72	6mer	x	6mer	9606		0
229E	miR-100-3p	9606	15637	15643	15637	15643	73	7mer-m8	x	7mer-m8	9606		0
229E	miR-100-3p	9606	16640	16645	16640	16645	74	6mer	x	6mer	9606		0
229E	miR-100-3p	9606	22074	22079	22074	22079	75	6mer	x	6mer	9606		0
229E	miR-100-3p	9606	22601	22606	22601	22606	76	6mer	x	6mer	9606		0
229E	miR-100-3p	9606	23292	23297	23292	23297	77	6mer	x	6mer	9606		0
229E	miR-100-3p	9606	24417	24422	24417	24422	78	6mer	x	6mer	9606		0
229E	miR-100-3p	9606	26566	26571	26566	26571	79	6mer	x	6mer	9606		0
229E	miR-100-3p	9606	5802	5808	5802	5808	80	7mer-1a	x	7mer-1a	9606		0
229E	miR-101-3p.1	9606	10921	10927	10921	10927	81	7mer-1a	x	7mer-1a	9606		0
229E	miR-101-3p.1	9606	12430	12435	12430	12435	82	6mer	x	6mer	9606		0
229E	miR-101-3p.1	9606	12577	12582	12577	12582	83	6mer	x	6mer	9606		0
229E	miR-101-3p.1	9606	15487	15492	15487	15492	84	6mer	x	6mer	9606		0
229E	miR-101-3p.1	9606	16352	16358	16352	16358	85	7mer-m8	x	7mer-m8	9606		0
229E	miR-101-3p.1	9606	17696	17702	17696	17702	86	7mer-m8	x	7mer-m8	9606		0
229E	miR-101-3p.1	9606	19110	19115	19110	19115	87	6mer	x	6mer	9606		0
229E	miR-101-3p.1	9606	19460	19466	19460	19466	88	7mer-m8	x	7mer-m8	9606		0
229E	miR-101-3p.1	9606	1966	1971	1966	1971	89	6mer	x	6mer	9606		0
229E	miR-101-3p.1	9606	21258	21264	21258	21264	90	7mer-m8	x	7mer-m8	9606		0
229E	miR-101-3p.1	9606	25142	25148	25142	25148	91	7mer-m8	x	7mer-m8	9606		0
229E	miR-101-3p.1	9606	25411	25416	25411	25416	92	6mer	x	6mer	9606		0
229E	miR-101-3p.1	9606	26096	26101	26096	26101	93	6mer	x	6mer	9606		0
229E	miR-101-3p.1	9606	2626	2631	2626	2631	94	6mer	x	6mer	9606		0
229E	miR-101-3p.1	9606	4159	4164	4159	4164	95	6mer	x	6mer	9606		0
