Target Rank	Target Score	miRNA Name
1	100	hsa-miR-196a-1-3p
2	100	hsa-miR-4282
3	100	hsa-miR-548t-3p
4	100	hsa-miR-548ap-3p
5	100	hsa-miR-548aa
6	100	hsa-miR-4760-5p
7	100	hsa-miR-5688
8	100	hsa-miR-3163
9	100	hsa-miR-8061
10	100	hsa-miR-4803
11	100	hsa-miR-6512-5p
12	100	hsa-miR-5692a
13	100	hsa-miR-7-2-3p
14	100	hsa-miR-7-1-3p
15	100	hsa-miR-495-3p
16	100	hsa-miR-802
17	100	hsa-miR-3065-5p
18	100	hsa-miR-122b-3p
19	100	hsa-miR-548c-3p
20	100	hsa-miR-21-3p
21	99	hsa-miR-633
22	99	hsa-miR-3529-3p
23	99	hsa-miR-4477a
24	99	hsa-miR-5011-5p
25	99	hsa-miR-374a-5p
26	99	hsa-miR-1277-5p
27	99	hsa-miR-190a-3p
28	99	hsa-miR-551b-5p
29	99	hsa-miR-548z
30	99	hsa-miR-548h-3p
31	99	hsa-miR-548ac
32	99	hsa-miR-3613-3p
33	99	hsa-miR-548d-3p
34	99	hsa-miR-548bb-3p
35	99	hsa-miR-12136
36	99	hsa-miR-548n
37	99	hsa-miR-497-3p
38	99	hsa-miR-548x-3p
39	99	hsa-miR-548aj-3p
40	99	hsa-miR-302c-5p
41	99	hsa-miR-374b-5p
42	98	hsa-miR-889-3p
43	98	hsa-miR-548aq-3p
44	98	hsa-miR-548ae-3p
45	98	hsa-miR-561-3p
46	98	hsa-miR-4762-5p
47	98	hsa-miR-1283
48	98	hsa-miR-548j-3p
49	98	hsa-miR-548am-3p
50	98	hsa-miR-548ah-3p
51	98	hsa-miR-548as-3p
52	98	hsa-miR-4310
53	98	hsa-miR-1323
54	98	hsa-miR-126-5p
55	98	hsa-miR-302d-5p
56	98	hsa-miR-302b-5p
57	98	hsa-miR-8063
58	98	hsa-miR-944
59	98	hsa-miR-186-5p
60	98	hsa-miR-3671
61	98	hsa-miR-5582-3p
62	98	hsa-miR-548o-3p
63	97	hsa-miR-410-3p
64	97	hsa-miR-548p
65	97	hsa-miR-381-3p
66	97	hsa-miR-300
67	97	hsa-miR-7849-3p
68	97	hsa-miR-98-3p
69	97	hsa-let-7f-1-3p
70	97	hsa-let-7b-3p
71	97	hsa-let-7a-3p
72	97	hsa-miR-323a-3p
73	97	hsa-miR-4528
74	97	hsa-miR-3133
75	96	hsa-miR-4789-3p
76	96	hsa-miR-4427
77	96	hsa-miR-519d-5p
78	96	hsa-miR-4698
79	96	hsa-miR-5692c
80	96	hsa-miR-5692b
81	96	hsa-miR-95-5p
82	96	hsa-miR-7159-5p
83	96	hsa-miR-4719
84	96	hsa-miR-624-5p
85	96	hsa-miR-338-5p
86	95	hsa-miR-4775
87	95	hsa-miR-369-3p
88	95	hsa-miR-4799-5p
89	95	hsa-miR-7157-5p
90	95	hsa-miR-4262
91	95	hsa-miR-376a-5p
92	95	hsa-miR-548e-5p
93	95	hsa-miR-656-3p
94	94	hsa-miR-154-3p
95	94	hsa-miR-6806-5p
96	94	hsa-miR-590-3p
97	94	hsa-miR-105-5p
98	94	hsa-miR-888-5p
99	94	hsa-miR-655-3p
100	94	hsa-miR-374c-5p
101	94	hsa-miR-487a-3p
102	94	hsa-miR-4668-3p
103	94	hsa-miR-625-3p
104	94	hsa-miR-34a-3p
