a_Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
MERS	let-7-5p/98-5p	9606	12409	12414	12409	12414	1	6mer	x	6mer	9606		0
MERS	let-7-5p/98-5p	9606	16888	16893	16888	16893	2	6mer	x	6mer	9606		0
MERS	let-7-5p/98-5p	9606	20845	20851	20845	20851	3	7mer-1a	x	7mer-1a	9606		0
MERS	let-7-5p/98-5p	9606	22996	23002	22996	23002	4	7mer-1a	x	7mer-1a	9606		0
MERS	let-7-5p/98-5p	9606	24259	24264	24259	24264	5	6mer	x	6mer	9606		0
MERS	let-7-5p/98-5p	9606	25046	25051	25046	25051	6	6mer	x	6mer	9606		0
MERS	let-7-5p/98-5p	9606	26121	26127	26121	26127	7	7mer-m8	x	7mer-m8	9606		0
MERS	let-7-5p/98-5p	9606	28753	28758	28753	28758	8	6mer	x	6mer	9606		0
MERS	let-7-5p/98-5p	9606	7181	7186	7181	7186	9	6mer	x	6mer	9606		0
MERS	let-7-5p/98-5p	9606	9361	9368	9361	9368	10	8mer-1a	x	8mer-1a	9606		0
MERS	let-7-5p/98-5p	9606	9515	9520	9515	9520	11	6mer	x	6mer	9606		0
MERS	let-7a-2-3p/let-7g-3p	9606	11335	11341	11335	11341	12	7mer-1a	x	7mer-1a	9606		0
MERS	let-7a-2-3p/let-7g-3p	9606	11392	11397	11392	11397	13	6mer	x	6mer	9606		0
MERS	let-7a-2-3p/let-7g-3p	9606	15225	15231	15225	15231	14	7mer-1a	x	7mer-1a	9606		0
MERS	let-7a-2-3p/let-7g-3p	9606	2062	2067	2062	2067	15	6mer	x	6mer	9606		0
MERS	let-7a-2-3p/let-7g-3p	9606	22174	22179	22174	22179	16	6mer	x	6mer	9606		0
MERS	let-7a-2-3p/let-7g-3p	9606	2332	2337	2332	2337	17	6mer	x	6mer	9606		0
MERS	let-7a-2-3p/let-7g-3p	9606	25919	25924	25919	25924	18	6mer	x	6mer	9606		0
MERS	let-7a-2-3p/let-7g-3p	9606	27103	27108	27103	27108	19	6mer	x	6mer	9606		0
MERS	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	10834	10839	10834	10839	20	6mer	x	6mer	9606		0
MERS	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	11789	11796	11789	11796	21	8mer-1a	x	8mer-1a	9606		0
MERS	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	12274	12280	12274	12280	22	7mer-1a	x	7mer-1a	9606		0
MERS	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	12404	12410	12404	12410	23	7mer-m8	x	7mer-m8	9606		0
MERS	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	13794	13800	13794	13800	24	7mer-m8	x	7mer-m8	9606		0
MERS	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	16083	16089	16083	16089	25	7mer-1a	x	7mer-1a	9606		0
MERS	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	20096	20103	20096	20103	26	8mer-1a	x	8mer-1a	9606		0
