miRNA	Virus	Start	End	Site type	Target Score
hsa-let-7a-2-3p	HCoV-HKU1	10777	10782	6mer	65
hsa-let-7g-3p	HCoV-HKU1	10777	10782	6mer	65
hsa-let-7a-2-3p	HCoV-HKU1	10864	10870	7mer-1a	65
hsa-let-7g-3p	HCoV-HKU1	10864	10870	7mer-1a	65
hsa-let-7a-2-3p	HCoV-HKU1	1149	1155	7mer-m8	65
hsa-let-7g-3p	HCoV-HKU1	1149	1155	7mer-m8	65
hsa-let-7a-2-3p	HCoV-HKU1	13453	13459	7mer-1a	65
hsa-let-7g-3p	HCoV-HKU1	13453	13459	7mer-1a	65
hsa-let-7a-2-3p	HCoV-HKU1	1373	1378	6mer	65
hsa-let-7g-3p	HCoV-HKU1	1373	1378	6mer	65
hsa-let-7a-2-3p	HCoV-HKU1	14373	14378	6mer	65
hsa-let-7g-3p	HCoV-HKU1	14373	14378	6mer	65
hsa-let-7a-2-3p	HCoV-HKU1	17344	17349	6mer	65
hsa-let-7g-3p	HCoV-HKU1	17344	17349	6mer	65
hsa-let-7a-2-3p	HCoV-HKU1	18951	18956	6mer	65
hsa-let-7g-3p	HCoV-HKU1	18951	18956	6mer	65
hsa-let-7a-2-3p	HCoV-HKU1	20689	20694	6mer	65
hsa-let-7g-3p	HCoV-HKU1	20689	20694	6mer	65
hsa-let-7a-2-3p	HCoV-HKU1	22536	22542	7mer-m8	65
hsa-let-7g-3p	HCoV-HKU1	22536	22542	7mer-m8	65
hsa-let-7a-2-3p	HCoV-HKU1	23888	23894	7mer-m8	65
hsa-let-7g-3p	HCoV-HKU1	23888	23894	7mer-m8	65
hsa-let-7a-2-3p	HCoV-HKU1	2538	2543	6mer	65
hsa-let-7g-3p	HCoV-HKU1	2538	2543	6mer	65
hsa-let-7a-2-3p	HCoV-HKU1	25761	25767	7mer-1a	65
hsa-let-7g-3p	HCoV-HKU1	25761	25767	7mer-1a	65
hsa-let-7a-2-3p	HCoV-HKU1	25899	25905	7mer-1a	65
hsa-let-7g-3p	HCoV-HKU1	25899	25905	7mer-1a	65
hsa-let-7a-2-3p	HCoV-HKU1	4040	4045	6mer	65
hsa-let-7g-3p	HCoV-HKU1	4040	4045	6mer	65
hsa-let-7a-2-3p	HCoV-HKU1	5349	5356	8mer-1a	65
hsa-let-7g-3p	HCoV-HKU1	5349	5356	8mer-1a	65
hsa-let-7a-2-3p	HCoV-HKU1	604	609	6mer	65
hsa-let-7g-3p	HCoV-HKU1	604	609	6mer	65
hsa-let-7a-2-3p	HCoV-HKU1	8524	8529	6mer	65
hsa-let-7g-3p	HCoV-HKU1	8524	8529	6mer	65
hsa-let-7a-3p	HCoV-HKU1	10043	10050	8mer-1a	97
hsa-let-7b-3p	HCoV-HKU1	10043	10050	8mer-1a	97
hsa-let-7f-1-3p	HCoV-HKU1	10043	10050	8mer-1a	97
hsa-miR-98-3p	HCoV-HKU1	10043	10050	8mer-1a	97
hsa-let-7a-3p	HCoV-HKU1	10683	10689	7mer-m8	97
hsa-let-7b-3p	HCoV-HKU1	10683	10689	7mer-m8	97
hsa-let-7f-1-3p	HCoV-HKU1	10683	10689	7mer-m8	97
hsa-miR-98-3p	HCoV-HKU1	10683	10689	7mer-m8	97
hsa-let-7a-3p	HCoV-HKU1	11182	11189	8mer-1a	97
hsa-let-7b-3p	HCoV-HKU1	11182	11189	8mer-1a	97
hsa-let-7f-1-3p	HCoV-HKU1	11182	11189	8mer-1a	97
hsa-miR-98-3p	HCoV-HKU1	11182	11189	8mer-1a	97
hsa-let-7a-3p	HCoV-HKU1	11220	11225	6mer	97
hsa-let-7b-3p	HCoV-HKU1	11220	11225	6mer	97
