Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Gm3055	ENSMUST00000105316.2	predicted gene 3055 	0	6	5	0	1	0	mmu-miR-223-5p	-1.76	-1.76	< 0.1
Zfp781	ENSMUST00000076281.5	zinc finger protein 781 	0	6	5	0	1	0	mmu-miR-223-5p	-1.75	-1.75	< 0.1
Rgs17	ENSMUST00000131996.2	regulator of G-protein signaling 17 	38	6	2	0	4	1	mmu-miR-223-5p	-0.73	-0.86	< 0.1
Gm5627	ENSMUST00000178539.1	predicted gene 5627 	24	15	2	3	10	4	mmu-miR-223-5p	-0.72	-2.27	< 0.1
Car10	ENSMUST00000107863.2	carbonic anhydrase 10 	5	5	0	0	5	0	mmu-miR-223-5p	-0.72	-0.72	< 0.1
1110004E09Rik	ENSMUST00000023694.4	RIKEN cDNA 1110004E09 gene 	1567	1	1	0	0	0	mmu-miR-223-5p	-0.70	-0.71	< 0.1
Fabp7	ENSMUST00000020024.6	fatty acid binding protein 7, brain 	46	1	1	0	0	0	mmu-miR-223-5p	-0.70	-0.76	< 0.1
Snrnp27	ENSMUST00000001186.5	small nuclear ribonucleoprotein 27 (U4/U6.U5) 	1384	1	1	0	0	0	mmu-miR-223-5p	-0.69	-0.69	< 0.1
Gm5444	ENSMUST00000065956.3	predicted gene 5444 	5	4	1	0	3	0	mmu-miR-223-5p	-0.69	-0.69	< 0.1
Dclk1	ENSMUST00000167204.2	doublecortin-like kinase 1 	166	4	2	0	2	0	mmu-miR-223-5p	-0.68	-0.68	< 0.1
Tspan12	ENSMUST00000120965.2	tetraspanin 12 	4211	2	1	1	0	0	mmu-miR-223-5p	-0.67	-0.67	< 0.1
Gm9837	ENSMUST00000057722.2	predicted gene 9837 	5	1	1	0	0	0	mmu-miR-223-5p	-0.66	-0.66	< 0.1
Cnot7	ENSMUST00000034012.4	CCR4-NOT transcription complex, subunit 7 	1545	2	1	1	0	0	mmu-miR-223-5p	-0.66	-0.67	< 0.1
Zbtb20	ENSMUST00000114694.3	zinc finger and BTB domain containing 20 	293	14	2	4	8	2	mmu-miR-223-5p	-0.65	-0.92	< 0.1
Tank	ENSMUST00000112502.2	TRAF family member-associated Nf-kappa B activator 	2319	1	1	0	0	0	mmu-miR-223-5p	-0.63	-0.65	< 0.1
Arpp21	ENSMUST00000111872.3	cyclic AMP-regulated phosphoprotein, 21 	14	1	1	0	0	2	mmu-miR-223-5p	-0.63	-0.63	< 0.1
Gm14440	ENSMUST00000109051.2	predicted gene 14440 	5	2	1	0	1	0	mmu-miR-223-5p	-0.63	-0.63	< 0.1
4930518I15Rik	ENSMUST00000099141.2	RIKEN cDNA 4930518I15 gene 	5	1	1	0	0	0	mmu-miR-223-5p	-0.63	-0.63	< 0.1
Zfp930	ENSMUST00000110216.1	zinc finger protein 930 	634	2	2	0	0	1	mmu-miR-223-5p	-0.62	-0.65	< 0.1
Plac9a	ENSMUST00000052286.9	placenta specific 9a 	5	1	1	0	0	0	mmu-miR-223-5p	-0.60	-0.60	< 0.1
Fbxo5	ENSMUST00000019907.7	F-box protein 5 	2747	1	1	0	0	0	mmu-miR-223-5p	-0.59	-0.59	< 0.1
Tm2d2	ENSMUST00000033961.5	TM2 domain containing 2 	6345	2	1	0	1	0	mmu-miR-223-5p	-0.59	-0.59	< 0.1
Mei4	ENSMUST00000057067.4	meiosis-specific, MEI4 homolog (S. cerevisiae) 	79	1	1	0	0	0	mmu-miR-223-5p	-0.57	-0.57	< 0.1
Mal2	ENSMUST00000025356.2	mal, T cell differentiation protein 2 	681	2	1	0	1	0	mmu-miR-223-5p	-0.57	-0.57	< 0.1
Calr3	ENSMUST00000019876.6	calreticulin 3 	64	1	1	0	0	0	mmu-miR-223-5p	-0.57	-0.57	< 0.1
Gm10118	ENSMUST00000079279.3	predicted gene 10118 	5	2	1	1	0	0	mmu-miR-223-5p	-0.56	-0.56	< 0.1
B230307C23Rik	ENSMUST00000122450.2	RIKEN cDNA B230307C23 gene 	98	2	2	0	0	0	mmu-miR-223-5p	-0.56	-0.61	< 0.1
Mlf1	ENSMUST00000061322.8	myeloid leukemia factor 1 	5970	2	2	0	0	0	mmu-miR-223-5p	-0.56	-1.25	< 0.1
Hpgds	ENSMUST00000031982.4	hematopoietic prostaglandin D synthase 	22	3	1	0	2	1	mmu-miR-223-5p	-0.56	-0.58	< 0.1
Fezf1	ENSMUST00000031709.5	Fez family zinc finger 1 	7	3	1	0	2	0	mmu-miR-223-5p	-0.55	-0.55	< 0.1
Gm14288	ENSMUST00000123863.1	predicted gene 14288 	0	2	1	0	1	0	mmu-miR-223-5p	-0.55	-0.55	< 0.1
Taf1b	ENSMUST00000075954.7	TATA box binding protein (Tbp)-associated factor, RNA polymerase I, B 	134	1	1	0	0	1	mmu-miR-223-5p	-0.55	-0.65	< 0.1
Cplx2	ENSMUST00000026985.8	complexin 2 	77	9	0	0	9	0	mmu-miR-223-5p	-0.54	-0.54	< 0.1
Fmo6	ENSMUST00000178465.1	flavin containing monooxygenase 6 	5	1	1	0	0	0	mmu-miR-223-5p	-0.53	-0.53	< 0.1
Igfbp1	ENSMUST00000020704.7	insulin-like growth factor binding protein 1 	271	1	1	0	0	0	mmu-miR-223-5p	-0.53	-0.54	< 0.1
4933403O08Rik	ENSMUST00000152343.2	RIKEN cDNA 4933403O08 gene 	5	1	1	0	0	0	mmu-miR-223-5p	-0.53	-0.53	< 0.1
Fam175a	ENSMUST00000055245.7	family with sequence similarity 175, member A 	310	1	1	0	0	0	mmu-miR-223-5p	-0.53	-0.53	< 0.1
Gtl3	ENSMUST00000034249.6	gene trap locus 3 	161	1	1	0	0	0	mmu-miR-223-5p	-0.52	-0.54	< 0.1
Ptn	ENSMUST00000101534.1	pleiotrophin 	1963	1	1	0	0	0	mmu-miR-223-5p	-0.52	-0.53	< 0.1
Cat	ENSMUST00000028610.4	catalase 	36321	4	1	0	3	0	mmu-miR-223-5p	-0.52	-0.58	< 0.1
Pcp4	ENSMUST00000061739.8	Purkinje cell protein 4 	21	1	1	0	0	0	mmu-miR-223-5p	-0.52	-0.52	< 0.1
Fcrl6	ENSMUST00000094303.4	Fc receptor-like 6 	5	3	0	0	3	1	mmu-miR-223-5p	-0.51	-0.51	< 0.1
Abhd10	ENSMUST00000066983.7	abhydrolase domain containing 10 	544	1	1	0	0	1	mmu-miR-223-5p	-0.51	-0.53	< 0.1
Krtap21-1	ENSMUST00000078422.2	keratin associated protein 21-1 	5	1	1	0	0	0	mmu-miR-223-5p	-0.50	-0.50	< 0.1
Batf	ENSMUST00000040536.5	basic leucine zipper transcription factor, ATF-like 	18	1	1	0	0	0	mmu-miR-223-5p	-0.50	-0.50	< 0.1
4632404H12Rik	ENSMUST00000038450.1	RIKEN cDNA 4632404H12 gene 	78	2	1	1	0	0	mmu-miR-223-5p	-0.50	-0.63	< 0.1
Lrrc19	ENSMUST00000053419.3	leucine rich repeat containing 19 	690	2	1	0	1	2	mmu-miR-223-5p	-0.50	-0.50	< 0.1
Nkain2	ENSMUST00000191234.1	Na+/K+ transporting ATPase interacting 2 	9	1	1	0	0	0	mmu-miR-223-5p	-0.50	-0.50	< 0.1
Pipox	ENSMUST00000017597.4	pipecolic acid oxidase 	473	1	1	0	0	0	mmu-miR-223-5p	-0.49	-0.53	< 0.1
Gm10735	ENSMUST00000099162.2	predicted gene 10735 	6	3	0	1	2	0	mmu-miR-223-5p	-0.48	-0.48	< 0.1
Lrp6	ENSMUST00000032322.9	low density lipoprotein receptor-related protein 6 	302	2	2	0	0	0	mmu-miR-223-5p	-0.48	-0.50	< 0.1
Ccdc64	ENSMUST00000055408.7	coiled-coil domain containing 64 	271	2	1	1	0	0	mmu-miR-223-5p	-0.48	-0.49	< 0.1
Fan1	ENSMUST00000177443.2	FANCD2/FANCI-associated nuclease 1 	162	3	1	0	2	0	mmu-miR-223-5p	-0.48	-0.51	< 0.1
Rbmx	ENSMUST00000098470.3	RNA binding motif protein, X chromosome 	830	2	2	0	0	0	mmu-miR-223-5p	-0.47	-0.53	< 0.1
Ampd3	ENSMUST00000005829.7	adenosine monophosphate deaminase 3 	854	2	2	0	0	0	mmu-miR-223-5p	-0.47	-0.47	< 0.1
Txlnb	ENSMUST00000037964.6	taxilin beta 	3218	5	1	1	3	0	mmu-miR-223-5p	-0.47	-0.68	< 0.1
Wisp2	ENSMUST00000029188.7	WNT1 inducible signaling pathway protein 2 	717	1	1	0	0	0	mmu-miR-223-5p	-0.47	-0.47	< 0.1
Krtap9-1	ENSMUST00000093936.4	keratin associated protein 9-1 	5	1	1	0	0	0	mmu-miR-223-5p	-0.47	-0.47	< 0.1
Arxes2	ENSMUST00000058119.8	adipocyte-related X-chromosome expressed sequence 2 	4200	1	1	0	0	0	mmu-miR-223-5p	-0.47	-0.47	< 0.1
Ppp1r2	ENSMUST00000060188.8	protein phosphatase 1, regulatory (inhibitor) subunit 2 	2115	5*	2	0	2	0	mmu-miR-223-5p	-0.47	-0.57	< 0.1
Mgat4a	ENSMUST00000151952.2	mannoside acetylglucosaminyltransferase 4, isoenzyme A 	164	3	2	1	0	0	mmu-miR-223-5p	-0.47	-0.48	< 0.1
Trap1	ENSMUST00000006137.8	TNF receptor-associated protein 1 	1768	1	1	0	0	0	mmu-miR-223-5p	-0.47	-0.47	< 0.1
Gtpbp2	ENSMUST00000024748.8	GTP binding protein 2 	585	1	0	0	1	1	mmu-miR-223-5p	-0.46	-0.53	< 0.1
Fam96b	ENSMUST00000093234.4	family with sequence similarity 96, member B 	216	2	1	0	1	0	mmu-miR-223-5p	-0.46	-0.55	< 0.1
Izumo3	ENSMUST00000107108.2	IZUMO family member 3 	5	1	1	0	0	0	mmu-miR-223-5p	-0.46	-0.46	< 0.1
1500011B03Rik	ENSMUST00000112160.3	RIKEN cDNA 1500011B03 gene 	112	1	1	0	0	0	mmu-miR-223-5p	-0.45	-0.45	< 0.1
Zfp641	ENSMUST00000023722.6	zinc finger protein 641 	114	2	2	0	0	0	mmu-miR-223-5p	-0.45	-0.57	< 0.1
Dgat2l6	ENSMUST00000037541.8	diacylglycerol O-acyltransferase 2-like 6 	7	1	1	0	0	0	mmu-miR-223-5p	-0.45	-0.45	< 0.1
Lamp3	ENSMUST00000081880.5	lysosomal-associated membrane protein 3 	468	2	1	0	1	0	mmu-miR-223-5p	-0.44	-0.44	< 0.1
Lrat	ENSMUST00000029632.6	lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase) 	316	3	1	0	2	1	mmu-miR-223-5p	-0.44	-0.50	< 0.1
Mxd4	ENSMUST00000042701.7	Max dimerization protein 4 	2773	2	2	0	0	0	mmu-miR-223-5p	-0.44	-0.49	< 0.1
Slc25a21	ENSMUST00000044634.6	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21 	138	3	0	2	1	0	mmu-miR-223-5p	-0.44	-0.51	< 0.1
Mut	ENSMUST00000169611.2	methylmalonyl-Coenzyme A mutase 	629	2	1	0	1	1	mmu-miR-223-5p	-0.43	-0.57	< 0.1
Gng5	ENSMUST00000118280.1	guanine nucleotide binding protein (G protein), gamma 5 	187	2	0	1	1	1	mmu-miR-223-5p	-0.43	-0.43	< 0.1
Ano1	ENSMUST00000121758.2	anoctamin 1, calcium activated chloride channel 	994	2	1	0	1	0	mmu-miR-223-5p	-0.43	-0.44	< 0.1
Snap25	ENSMUST00000028727.5	synaptosomal-associated protein 25 	27	3	1	0	2	0	mmu-miR-223-5p	-0.43	-0.43	< 0.1
Cd40lg	ENSMUST00000033466.1	CD40 ligand 	14	2	1	0	1	0	mmu-miR-223-5p	-0.43	-0.45	< 0.1
Gm20499	ENSMUST00000140374.1	predicted gene 20499 	112	1	1	0	0	0	mmu-miR-223-5p	-0.43	-0.45	< 0.1
Rbm7	ENSMUST00000170000.2	RNA binding motif protein 7 	455	1	1	0	0	0	mmu-miR-223-5p	-0.43	-0.54	< 0.1
Klk1b27	ENSMUST00000079859.5	kallikrein 1-related peptidase b27 	7	1	0	1	0	0	mmu-miR-223-5p	-0.42	-0.42	< 0.1
Ccdc125	ENSMUST00000170347.2	coiled-coil domain containing 125 	78	1	1	0	0	1	mmu-miR-223-5p	-0.42	-0.52	< 0.1
Zfand5	ENSMUST00000025659.5	zinc finger, AN1-type domain 5 	4149	2	1	1	0	2	mmu-miR-223-5p	-0.42	-0.64	< 0.1
Ercc6l2	ENSMUST00000067821.6	excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2 	14	1	1	0	0	0	mmu-miR-223-5p	-0.42	-0.42	< 0.1
Adam24	ENSMUST00000051614.3	a disintegrin and metallopeptidase domain 24 (testase 1) 	5	1	1	0	0	0	mmu-miR-223-5p	-0.41	-0.41	< 0.1
Cnga4	ENSMUST00000033187.4	cyclic nucleotide gated channel alpha 4 	5	1	1	0	0	0	mmu-miR-223-5p	-0.41	-0.41	< 0.1
Fam43a	ENSMUST00000059078.3	family with sequence similarity 43, member A 	703	2	1	0	1	0	mmu-miR-223-5p	-0.41	-0.41	< 0.1
Fbxo44	ENSMUST00000151127.2	F-box protein 44 	17	2	0	0	2	0	mmu-miR-223-5p	-0.41	-0.41	< 0.1
Cyp2c65	ENSMUST00000087236.4	cytochrome P450, family 2, subfamily c, polypeptide 65 	5	1	1	0	0	0	mmu-miR-223-5p	-0.41	-0.41	< 0.1
Gosr1	ENSMUST00000010536.8	golgi SNAP receptor complex member 1 	332	1	1	0	0	1	mmu-miR-223-5p	-0.40	-0.41	< 0.1
Sptlc3	ENSMUST00000047370.2	serine palmitoyltransferase, long chain base subunit 3 	11	1	1	0	0	0	mmu-miR-223-5p	-0.40	-0.40	< 0.1
Rab6a	ENSMUST00000107048.2	RAB6A, member RAS oncogene family 	1165	1	1	0	0	0	mmu-miR-223-5p	-0.40	-0.44	< 0.1
Olfr60	ENSMUST00000075470.1	olfactory receptor 60 	1	1	1	0	0	0	mmu-miR-223-5p	-0.40	-0.40	< 0.1
