a_Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
HKU1	let-7-5p/98-5p	9606	18155	18160	18155	18160	1	6mer	x	6mer	9606		0
HKU1	let-7-5p/98-5p	9606	4260	4266	4260	4266	2	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	10777	10782	10777	10782	3	6mer	x	6mer	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	10864	10870	10864	10870	4	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	1149	1155	1149	1155	5	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	13453	13459	13453	13459	6	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	1373	1378	1373	1378	7	6mer	x	6mer	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	14373	14378	14373	14378	8	6mer	x	6mer	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	17344	17349	17344	17349	9	6mer	x	6mer	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	18951	18956	18951	18956	10	6mer	x	6mer	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	20689	20694	20689	20694	11	6mer	x	6mer	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	22536	22542	22536	22542	12	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	23888	23894	23888	23894	13	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	2538	2543	2538	2543	14	6mer	x	6mer	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	25761	25767	25761	25767	15	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	25899	25905	25899	25905	16	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	4040	4045	4040	4045	17	6mer	x	6mer	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	5349	5356	5349	5356	18	8mer-1a	x	8mer-1a	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	604	609	604	609	19	6mer	x	6mer	9606		0
HKU1	let-7a-2-3p/let-7g-3p	9606	8524	8529	8524	8529	20	6mer	x	6mer	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	10043	10050	10043	10050	21	8mer-1a	x	8mer-1a	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	10683	10689	10683	10689	22	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	11182	11189	11182	11189	23	8mer-1a	x	8mer-1a	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	11220	11225	11220	11225	24	6mer	x	6mer	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	11319	11324	11319	11324	25	6mer	x	6mer	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	12456	12462	12456	12462	26	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	15021	15027	15021	15027	27	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	1516	1522	1516	1522	28	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	16209	16214	16209	16214	29	6mer	x	6mer	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	16235	16241	16235	16241	30	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	16413	16419	16413	16419	31	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	16633	16640	16633	16640	32	8mer-1a	x	8mer-1a	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	17544	17549	17544	17549	33	6mer	x	6mer	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	18872	18878	18872	18878	34	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	20893	20900	20893	20900	35	8mer-1a	x	8mer-1a	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	23290	23296	23290	23296	36	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	26440	26445	26440	26445	37	6mer	x	6mer	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	27565	27572	27565	27572	38	8mer-1a	x	8mer-1a	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	4280	4286	4280	4286	39	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	7106	7112	7106	7112	40	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	722	728	722	728	41	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	7602	7608	7602	7608	42	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	8120	8126	8120	8126	43	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	8560	8566	8560	8566	44	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	9606	9254	9260	9254	9260	45	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7c-3p	9606	10776	10782	10776	10782	46	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7c-3p	9606	10863	10870	10863	10870	47	8mer-1a	x	8mer-1a	9606		0
HKU1	let-7c-3p	9606	1150	1155	1150	1155	48	6mer	x	6mer	9606		0
HKU1	let-7c-3p	9606	13452	13459	13452	13459	49	8mer-1a	x	8mer-1a	9606		0
HKU1	let-7c-3p	9606	1372	1378	1372	1378	50	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7c-3p	9606	14372	14378	14372	14378	51	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7c-3p	9606	17343	17349	17343	17349	52	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7c-3p	9606	18951	18956	18951	18956	53	6mer	x	6mer	9606		0
HKU1	let-7c-3p	9606	20688	20694	20688	20694	54	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7c-3p	9606	22537	22542	22537	22542	55	6mer	x	6mer	9606		0
HKU1	let-7c-3p	9606	23889	23894	23889	23894	56	6mer	x	6mer	9606		0
HKU1	let-7c-3p	9606	2538	2543	2538	2543	57	6mer	x	6mer	9606		0
HKU1	let-7c-3p	9606	25761	25767	25761	25767	58	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7c-3p	9606	25899	25905	25899	25905	59	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7c-3p	9606	4039	4045	4039	4045	60	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7c-3p	9606	5350	5356	5350	5356	61	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7c-3p	9606	603	609	603	609	62	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7c-3p	9606	8524	8529	8524	8529	63	6mer	x	6mer	9606		0
HKU1	let-7d-3p	9606	10557	10563	10557	10563	64	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7d-3p	9606	13747	13752	13747	13752	65	6mer	x	6mer	9606		0
HKU1	let-7d-3p	9606	28133	28138	28133	28138	66	6mer	x	6mer	9606		0
HKU1	let-7e-3p	9606	10557	10563	10557	10563	67	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7e-3p	9606	13747	13752	13747	13752	68	6mer	x	6mer	9606		0
HKU1	let-7e-3p	9606	28132	28138	28132	28138	69	7mer-m8	x	7mer-m8	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	10044	10050	10044	10050	70	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	10684	10689	10684	10689	71	6mer	x	6mer	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	11183	11189	11183	11189	72	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	11220	11225	11220	11225	73	6mer	x	6mer	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	11319	11324	11319	11324	74	6mer	x	6mer	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	12456	12462	12456	12462	75	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	15022	15027	15022	15027	76	6mer	x	6mer	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	1517	1522	1517	1522	77	6mer	x	6mer	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	16209	16214	16209	16214	78	6mer	x	6mer	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	16234	16241	16234	16241	79	8mer-1a	x	8mer-1a	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	16414	16419	16414	16419	80	6mer	x	6mer	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	16634	16640	16634	16640	81	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	17544	17549	17544	17549	82	6mer	x	6mer	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	18872	18878	18872	18878	83	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	20894	20900	20894	20900	84	7mer-1a	x	7mer-1a	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	23291	23296	23291	23296	85	6mer	x	6mer	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	26440	26445	26440	26445	86	6mer	x	6mer	9606		0
HKU1	let-7f-2-3p/1185-3p	9606	27566	27572	27566	27572	87	7mer-1a	x	7mer-1a	9606		0
